id,sort_name,party,email,website,term,name,image,source
00090,Van Rompuy Eric,CD&V,eric.vanrompuy@dekamer.be,http://www.ericvanrompuy.be,54,Eric Van Rompuy,http://www.lachambre.be/site/wwwroot/images/cv/00090.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00090&lactivity=54
00124,Dewael Patrick,Open Vld,patrick.dewael@dekamer.be,http://www.dewael.nu,54,Patrick Dewael,http://www.lachambre.be/site/wwwroot/images/cv/00124.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00124&lactivity=54
00439,Di Rupo Elio,PS,elio.dirupo@lachambre.be,"",54,Elio Di Rupo,http://www.lachambre.be/site/wwwroot/images/cv/00439.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00439&lactivity=54
00454,Van Mechelen Dirk,Open Vld,dirk.vanmechelen@dekamer.be,http://www.dirkvanmechelen.com,54,Dirk Van Mechelen,http://www.lachambre.be/site/wwwroot/images/cv/00454.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00454&lactivity=54
00472,Dewinter Filip,VB,filip.dewinter@dekamer.be,http://www.fdw.nu,54,Filip Dewinter,http://www.lachambre.be/site/wwwroot/images/cv/00472.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00472&lactivity=54
00476,Onkelinx Laurette,PS,laurette.onkelinx@lachambre.be,"",54,Laurette Onkelinx,http://www.lachambre.be/site/wwwroot/images/cv/00476.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00476&lactivity=54
00565,Van der Maelen Dirk,sp.a,dirk.vandermaelen@dekamer.be,http://www.dirkvandermaelen.be,54,Dirk Van der Maelen,http://www.lachambre.be/site/wwwroot/images/cv/00565.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00565&lactivity=54
00623,Cheron Marcel,Ecolo-Groen,marcel.cheron@lachambre.be,"",54,Marcel Cheron,http://www.lachambre.be/site/wwwroot/images/cv/00623.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00623&lactivity=54
00657,Vande Lanotte Johan,sp.a,johan.vandelanotte@dekamer.be,"",54,Johan Vande Lanotte,http://www.lachambre.be/site/wwwroot/images/cv/00657.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00657&lactivity=54
00682,Maingain Olivier,DéFI,olivier.maingain@lachambre.be,http://www.defi.be/,54,Olivier Maingain,http://www.lachambre.be/site/wwwroot/images/cv/00682.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00682&lactivity=54
00746,Delizée Jean-Marc,PS,jean-marc.delizee@lachambre.be,http://www.delizee.eu,54,Jean-Marc Delizée,http://www.lachambre.be/site/wwwroot/images/cv/00746.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00746&lactivity=54
00826,Verherstraeten Servais,CD&V,servais.verherstraeten@dekamer.be,http://www.servais.verherstraeten.cdenv.be,54,Servais Verherstraeten,http://www.lachambre.be/site/wwwroot/images/cv/00826.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00826&lactivity=54
00837,Bonte Hans,sp.a,hans.bonte@dekamer.be,"",54,Hans Bonte,http://www.lachambre.be/site/wwwroot/images/cv/00837.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00837&lactivity=54
00889,Frédéric André,PS,andre.frederic@lachambre.be,http://www.andrefrederic.be,54,André Frédéric,http://www.lachambre.be/site/wwwroot/images/cv/00889.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00889&lactivity=54
00906,Chastel Olivier,MR,olivier.chastel@lachambre.be,http://chastel.org,54,Olivier Chastel,http://www.lachambre.be/site/wwwroot/images/cv/00906.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00906&lactivity=54
00917,Vanvelthoven Peter,sp.a,peter.vanvelthoven@dekamer.be,http://www.petervanvelthoven.be,54,Peter Vanvelthoven,http://www.lachambre.be/site/wwwroot/images/cv/00917.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00917&lactivity=54
00946,Gerkens Muriel,Ecolo-Groen,muriel.gerkens@lachambre.be,http://www.murielgerkens.be,54,Muriel Gerkens,http://www.lachambre.be/site/wwwroot/images/cv/00946.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00946&lactivity=54
00951,Dallemagne Georges,cdH,georges.dallemagne@lachambre.be,http://www.georgesdallemagne.be,54,Georges Dallemagne,http://www.lachambre.be/site/wwwroot/images/cv/951.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00951&lactivity=54
00972,Van Quickenborne Vincent,Open Vld,vincent.vanquickenborne@dekamer.be,http://www.vincentvq.be,54,Vincent Van Quickenborne,http://www.lachambre.be/site/wwwroot/images/cv/00972.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00972&lactivity=54
00988,Lalieux Karine,PS,karine.lalieux@lachambre.be,http://www.karinelalieux.be,54,Karine Lalieux,http://www.lachambre.be/site/wwwroot/images/cv/00988.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=00988&lactivity=54
01002,Pehlivan Fatma,sp.a,fatma.pehlivan@dekamer.be,"",54,Fatma Pehlivan,http://www.lachambre.be/site/wwwroot/images/cv/01002.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01002&lactivity=54
01016,Nollet Jean-Marc,Ecolo-Groen,jean-marc.nollet@lachambre.be,http://www.nollet.info,54,Jean-Marc Nollet,http://www.lachambre.be/site/wwwroot/images/cv/01016.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01016&lactivity=54
01030,Deseyn Roel,CD&V,roel.deseyn@dekamer.be,http://www.roeldeseyn.be,54,Roel Deseyn,http://www.lachambre.be/site/wwwroot/images/cv/01030.gif,http://www.lachambre.be/kvvcr/showpage.cfm?section=/depute&language=fr&cfm=cvview54.cfm?key=01030&lactivity=54
