id,name,sort_name,email,website,image
00090,Eric Van Rompuy,Van Rompuy Eric,eric.vanrompuy@dekamer.be,http://www.ericvanrompuy.be,http://www.lachambre.be/site/wwwroot/images/cv/00090.gif
00124,Patrick Dewael,Dewael Patrick,patrick.dewael@dekamer.be,http://www.dewael.nu,http://www.lachambre.be/site/wwwroot/images/cv/00124.gif
00439,Elio Di Rupo,Di Rupo Elio,elio.dirupo@lachambre.be,"",http://www.lachambre.be/site/wwwroot/images/cv/00439.gif
00454,Dirk Van Mechelen,Van Mechelen Dirk,dirk.vanmechelen@dekamer.be,http://www.dirkvanmechelen.com,http://www.lachambre.be/site/wwwroot/images/cv/00454.gif
00472,Filip Dewinter,Dewinter Filip,filip.dewinter@dekamer.be,http://www.fdw.nu,http://www.lachambre.be/site/wwwroot/images/cv/00472.gif
00476,Laurette Onkelinx,Onkelinx Laurette,laurette.onkelinx@lachambre.be,"",http://www.lachambre.be/site/wwwroot/images/cv/00476.gif
00565,Dirk Van der Maelen,Van der Maelen Dirk,dirk.vandermaelen@dekamer.be,http://www.dirkvandermaelen.be,http://www.lachambre.be/site/wwwroot/images/cv/00565.gif
00623,Marcel Cheron,Cheron Marcel,marcel.cheron@lachambre.be,"",http://www.lachambre.be/site/wwwroot/images/cv/00623.gif
00657,Johan Vande Lanotte,Vande Lanotte Johan,johan.vandelanotte@dekamer.be,"",http://www.lachambre.be/site/wwwroot/images/cv/657.gif
00682,Olivier Maingain,Maingain Olivier,olivier.maingain@lachambre.be,http://www.defi.be/,http://www.lachambre.be/site/wwwroot/images/cv/00682.gif
00742,Didier Reynders,Reynders Didier,didier.reynders@lachambre.be,http://www.didier-reynders.be,http://www.lachambre.be/site/wwwroot/images/cv/742.gif
00746,Jean-Marc Delizée,Delizée Jean-Marc,jean-marc.delizee@lachambre.be,http://www.delizee.eu,http://www.lachambre.be/site/wwwroot/images/cv/00746.gif
00757,Daniel Bacquelaine,Bacquelaine Daniel,daniel.bacquelaine@lachambre.be,http://www.bacquelaine.be,http://www.lachambre.be/site/wwwroot/images/cv/757.gif
00761,André Flahaut,Flahaut André,andre.flahaut@lachambre.be,"",http://www.lachambre.be/site/wwwroot/images/cv/761.gif
00795,Pieter De Crem,De Crem Pieter,pieter.DeCrem@dekamer.be,http://www.pieterdecrem.be,http://www.lachambre.be/site/wwwroot/images/cv/795.gif
00826,Servais Verherstraeten,Verherstraeten Servais,servais.verherstraeten@dekamer.be,http://www.servais.verherstraeten.cdenv.be,http://www.lachambre.be/site/wwwroot/images/cv/00826.gif
00837,Hans Bonte,Bonte Hans,hans.bonte@dekamer.be,"",http://www.lachambre.be/site/wwwroot/images/cv/00837.gif
00889,André Frédéric,Frédéric André,andre.frederic@lachambre.be,http://www.andrefrederic.be,http://www.lachambre.be/site/wwwroot/images/cv/00889.gif
00895,Maggie De Block,De Block Maggie,maggie.deblock@dekamer.be,http://www.maggiedeblock.be,http://www.lachambre.be/site/wwwroot/images/cv/895.gif
00906,Olivier Chastel,Chastel Olivier,olivier.chastel@lachambre.be,http://chastel.org,http://www.lachambre.be/site/wwwroot/images/cv/00906.gif
00909,Charles Michel,Michel Charles,charles.michel@lachambre.be,"",http://www.lachambre.be/site/wwwroot/images/cv/909.gif
00917,Peter Vanvelthoven,Vanvelthoven Peter,peter.vanvelthoven@dekamer.be,http://www.petervanvelthoven.be,http://www.lachambre.be/site/wwwroot/images/cv/00917.gif
00946,Muriel Gerkens,Gerkens Muriel,muriel.gerkens@lachambre.be,http://www.murielgerkens.be,http://www.lachambre.be/site/wwwroot/images/cv/00946.gif
00951,Georges Dallemagne,Dallemagne Georges,georges.dallemagne@lachambre.be,http://www.georgesdallemagne.be,http://www.lachambre.be/site/wwwroot/images/cv/951.gif
00972,Vincent Van Quickenborne,Van Quickenborne Vincent,vincent.vanquickenborne@dekamer.be,http://www.vincentvq.be,http://www.lachambre.be/site/wwwroot/images/cv/00972.gif
00988,Karine Lalieux,Lalieux Karine,karine.lalieux@lachambre.be,http://www.karinelalieux.be,http://www.lachambre.be/site/wwwroot/images/cv/00988.gif
01002,Fatma Pehlivan,Pehlivan Fatma,fatma.pehlivan@dekamer.be,"",http://www.lachambre.be/site/wwwroot/images/cv/01002.gif
01016,Jean-Marc Nollet,Nollet Jean-Marc,jean-marc.nollet@lachambre.be,http://www.nollet.info,http://www.lachambre.be/site/wwwroot/images/cv/01016.gif
01030,Roel Deseyn,Deseyn Roel,roel.deseyn@dekamer.be,http://www.roeldeseyn.be,http://www.lachambre.be/site/wwwroot/images/cv/01030.gif
01032,Sabien Lahaye-Battheu,Lahaye-Battheu Sabien,sabien.battheu@dekamer.be,http://www.sabien-lahaye-battheu.be,http://www.lachambre.be/site/wwwroot/images/cv/01032.gif
01039,Hendrik Bogaert,Bogaert Hendrik,hendrik.bogaert@dekamer.be,http://www.hendrikbogaert.be,http://www.lachambre.be/site/wwwroot/images/cv/01039.gif
01042,Nahima Lanjri,Lanjri Nahima,nahima.lanjri@dekamer.be,http://www.nahima.be,http://www.lachambre.be/site/wwwroot/images/cv/01042.gif
01050,Eric Massin,Massin Eric,eric.massin@lachambre.be,"",http://www.lachambre.be/site/wwwroot/images/cv/01050.gif
01051,Alain Mathot,Mathot Alain,alain.mathot@lachambre.be,http://www.alainmathot.be,http://www.lachambre.be/site/wwwroot/images/cv/01051.gif
01056,Denis Ducarme,Ducarme Denis,denis.ducarme@lachambre.be,http://www.denisducarme.net,http://www.lachambre.be/site/wwwroot/images/cv/1056.gif
01059,Marie-Christine Marghem,Marghem Marie-Christine,mariechristine.marghem@lachambre.be,http://www.marghem.be,http://www.lachambre.be/site/wwwroot/images/cv/1059.gif
01067,Maya Detiège,Detiège Maya,maya.detiege@dekamer.be,http://www.mayadetiege.be,http://www.lachambre.be/site/wwwroot/images/cv/01067.gif
01070,Karin Jiroflée,Jiroflée Karin,karin.jiroflee@dekamer.be,http://www.karinjiroflee.be,http://www.lachambre.be/site/wwwroot/images/cv/01070.gif
01076,Catherine Fonck,Fonck Catherine,catherine.fonck@lachambre.be,"",http://www.lachambre.be/site/wwwroot/images/cv/01076.gif
01079,Melchior Wathelet,Wathelet Melchior,melchior.wathelet@lachambre.be,http://www.melchiorwathelet.be,http://www.lachambre.be/site/wwwroot/images/cv/1079.gif
01083,Françoise Schepmans,Schepmans Françoise,francoise.schepmans@lachambre.be,http://www.schepmans.be,http://www.lachambre.be/site/wwwroot/images/cv/01083.gif
01094,Christian Brotcorne,Brotcorne Christian,christian.brotcorne@lachambre.be,http://www.brotcorne.be,http://www.lachambre.be/site/wwwroot/images/cv/01094.gif
01102,Annemie Turtelboom,Turtelboom Annemie,annemie.turtelboom@dekamer.be,http://www.annemieturtelboom.be,http://www.lachambre.be/site/wwwroot/images/cv/01102.gif
01123,Luc Gustin,Gustin Luc,luc.gustin@lachambre.be,"",http://www.lachambre.be/site/wwwroot/images/cv/1123.gif
01127,David Geerts,Geerts David,david.geerts@dekamer.be,http://www.davidgeerts.be,http://www.lachambre.be/site/wwwroot/images/cv/01127.gif
01130,Nathalie Muylle,Muylle Nathalie,nathalie.muylle@dekamer.be,http://www.nathalie.muylle.cdenv.be,http://www.lachambre.be/site/wwwroot/images/cv/01130.gif
01131,Jef Van den Bergh,Van den Bergh Jef,jef.vandenbergh@dekamer.be,http://www.jefvandenbergh.be,http://www.lachambre.be/site/wwwroot/images/cv/01131.gif
