id,name,position,start_date,end_date,type
d654f8c8-7808-4cb4-958a-c89aebd3282f,Anne Enger,Minister of Culture,,,executive
c9f1d350-bdfd-4973-a2f4-aff13e9b64a0,Anne-Lise Bakken,Government Director of Personnel,,,executive
8429c284-0942-4779-b474-baae3c2ae22b,Annemarie Lorentzen,Minister of Transport and Communications,,,executive
129398d6-01fa-4826-85fb-61a7b3641ab1,Anniken Huitfeldt,Minister of Labour and Social Inclusion,2012-09-21,2013-10-16,executive
adac6f4b-5f35-411c-97d4-099863017c94,Asbjørn Reidar Jordahl,Minister of Transport and Communications,,,executive
a76252d5-1a32-40c0-925a-50605094b3a3,Berit Brørby,President of the Nordic Council,1998-01-01,1998-12-31,other
82f0b64a-b45c-4171-af4a-b3b8dc2e4e89,Bjørn Tore Godal,Foreign Minister of Norway,1994-01-24,1997-10-17,executive
177bdc3a-4d04-4f83-a951-97f7b451c7e1,Børge Brende,Foreign Minister of Norway,2013-10-16,"",executive
fe044985-8df3-407c-8125-8eb98b21aee5,Dag Jostein Fjærvoll,Minister of Transport and Communications,,,executive
8517c488-0f69-44a9-a73f-06fcc559344b,Dag Terje Andersen,President of Parliament of Norway,2009,2013,self
164333fe-e909-4fb8-9677-1751513c4112,Dagfinn Høybråten,Minister of Health and Care Services,1997-10-17,2000-03-17,executive
164333fe-e909-4fb8-9677-1751513c4112,Dagfinn Høybråten,Minister of Labour and Social Inclusion,2004-06-18,2005-10-17,executive
164333fe-e909-4fb8-9677-1751513c4112,Dagfinn Høybråten,Government Director of Personnel,,,executive
164333fe-e909-4fb8-9677-1751513c4112,Dagfinn Høybråten,President of the Nordic Council,2007-01-01,2007-12-31,other
164333fe-e909-4fb8-9677-1751513c4112,Dagfinn Høybråten,Secretary General of the Nordic Council of Ministers,2013,,other
3f788e65-6544-4b9c-9050-b73f496f744d,Einar Gerhardsen,Prime Minister of Norway,1945-06-25,1951-11-19,executive
3f788e65-6544-4b9c-9050-b73f496f744d,Einar Gerhardsen,Prime Minister of Norway,1955-01-22,1963-08-28,executive
3f788e65-6544-4b9c-9050-b73f496f744d,Einar Gerhardsen,Prime Minister of Norway,1963-09-25,1965-10-12,executive
3f788e65-6544-4b9c-9050-b73f496f744d,Einar Gerhardsen,President of the Nordic Council,1954-01-01,1954-12-31,other
3f788e65-6544-4b9c-9050-b73f496f744d,Einar Gerhardsen,Mayor of Oslo,1940-08-15,1940-08-26,other
aee85c92-d86f-42d3-94bc-a299eef7e81d,Erik Solheim,Minister of International Development,,,executive
aee85c92-d86f-42d3-94bc-a299eef7e81d,Erik Solheim,Minister of Climate and the Environment,,,executive
7b679b4c-f141-44e5-bfd0-b29ee0f54cea,Erling Wikborg,Foreign Minister of Norway,1963-08-28,1963-09-25,executive
d1c23458-568a-455d-8309-0186a72b07f4,Erna Solberg,Minister of Local Government and Regional Development,2001-10-19,2005-10-17,executive
d1c23458-568a-455d-8309-0186a72b07f4,Erna Solberg,Prime Minister of Norway,2013-10-16,,executive
eaa9eb83-ba51-4a50-b890-11084e24182a,Georg Apenes,Government Director of Personnel,,,executive
73a0292f-2032-409d-863e-7715e1aca704,Gro Harlem Brundtland,Prime Minister of Norway,1981-01-04,1981-10-14,executive
73a0292f-2032-409d-863e-7715e1aca704,Gro Harlem Brundtland,Prime Minister of Norway,1986-05-09,1989-10-16,executive
73a0292f-2032-409d-863e-7715e1aca704,Gro Harlem Brundtland,Prime Minister of Norway,1990-11-03,1996-10-25,executive
35b18403-079e-4e0c-93aa-91bdb85d86d0,Gudmund Restad,Lensmann,,,other
ca9cbca7-10ad-4741-ae04-6b1a0fedcaea,Gunnar Berge,Government Director of Personnel,,,executive
f8da2671-ade7-4023-9fd8-73fec467faee,Halvard Lange,Foreign Minister of Norway,1946-02-02,1963-08-28,executive
f8da2671-ade7-4023-9fd8-73fec467faee,Halvard Lange,Foreign Minister of Norway,1963-09-25,1965-10-12,executive
69a227eb-9310-4c4d-9a78-2131a0ddafce,Helge Seip,Government Director of Personnel,,,executive
69a227eb-9310-4c4d-9a78-2131a0ddafce,Helge Seip,Secretary General of the Nordic Council,1973,1977,other
05f79ffd-7126-4fd6-8cb2-8f461b3ba1af,Håkon Kyllingmark,Minister of Transport and Communications,,,executive
63c9c384-af1b-4c76-b239-271cfe6bf7b6,Inge Lønning,President of the Nordic Council,2003-01-01,2003-12-31,other
a1e12d13-dd02-4d1e-9c02-4c17485631f8,Inger Koppernæs,Minister of Transport and Communications,,,executive
