id,position,label,description,start_date,end_date,constituency,of,replaces,replaced_by,election
Q1043648,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1080106,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1080106,Q18821575,Member of the Landtag of Lower Austria,"","",,,,,,
Q1080106,Q19360771,member of the Austrian federal council,"","",,,,,,
Q1080390,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1080771,Q17535155,member of the National Council of Austria,"",2013-10-29,,,,,,
Q1082636,Q17535155,member of the National Council of Austria,"",2013-10-29,,,,,,
Q1083717,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1085077,Q17535155,member of the National Council of Austria,"",2008-10-28,2017-11-08,,,,,
Q1085077,Q19360771,member of the Austrian federal council,"",1999-10-20,2004-10-04,,Vorarlberg,,,
Q1097418,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1116134,Q17535155,member of the National Council of Austria,"",2013-10-29,,,,,,
Q112165,Q17535155,member of the National Council of Austria,"","",,,,,,
Q112165,Q18821575,Member of the Landtag of Lower Austria,"","",,,,,,
Q1163485,Q17535155,member of the National Council of Austria,"",2008-10-28,2016-04-27,,,,Karl Öllinger,
Q1221767,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1223441,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1230237,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1246269,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1246269,Q18821575,Member of the Landtag of Lower Austria,"","",,,,,,
Q1273184,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1276715,Q17535155,member of the National Council of Austria,"","",2016-06-28,,,,Wolfgang Klinger,
Q1285098,Q17535155,member of the National Council of Austria,"",2013-10-29,,,,,,
Q1329966,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1332784,Q1343573,Member of state parliament,representative of the voters to a state or provincial parliament,1983-06-08,2006-11-02,Electoral district Feldkirch,Vorarlberg,Günter Dietrich,Mirjam Fischer,
Q1332784,Q17535155,member of the National Council of Austria,"",2006-10-30,2017-11-08,,,,,"Austrian legislative election, 2006"
Q1332812,Q17535155,member of the National Council of Austria,"",2010-10-21,2015-10-22,,,Lutz Weinzinger,"",
Q1332812,Q19360771,member of the Austrian federal council,"",2009-10-23,2010-10-20,,Upper Austria,,,
Q1332812,Q19666653,Landesrat,member of a state government of an Austrian federal state,2015-10-23,,,Upper Austria,,,
Q1332863,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1363342,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1363342,Q19360771,member of the Austrian federal council,"","",,,,,,
Q1363353,Q17535155,member of the National Council of Austria,"",2013-10-29,,,,,,
Q1363483,Q17535155,member of the National Council of Austria,"",2013-10-29,,,,,,
Q1369083,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1369083,Q19360771,member of the Austrian federal council,"","",,,,,,
Q1373001,Q1343573,Member of state parliament,representative of the voters to a state or provincial parliament,1989-11-22,1994-10-03,,Vorarlberg,Hans-Dieter Grabher,,
Q1373001,Q17535155,member of the National Council of Austria,"",1999-10-29,2008-10-27,,,,,
Q1373001,Q19360771,member of the Austrian federal council,"",1994-10-19,1999-10-19,,Vorarlberg,,,
Q1379058,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1391951,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1395041,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1395041,Q23938055,Federal Minister of the Interior,interior minister of Austria,2017-12-18,,,,Wolfgang Sobotka,,
Q1410282,Q17535155,member of the National Council of Austria,"",1994-11-07,,,,,,"Austrian legislative election, 1994"
Q1410282,Q22328310,Second President of the National Council of Austria,"",2013-10-29,2017-11-08,,,,,
Q1412793,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1424102,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1435943,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1445863,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1447796,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1453271,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1466443,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1466443,Q19360771,member of the Austrian federal council,"","",,,,,,
Q1489513,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1497140,Q17535155,member of the National Council of Austria,"",2008-10-28,2017-11-08,,,,,"Austrian legislative election, 2008"
Q14977604,Q17535155,member of the National Council of Austria,"",2013-10-29,,,,,,"Austrian legislative election, 2013"
Q1506454,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1507084,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1507084,Q25608222,member of the Styrian state parliament,legislator in the Landtag of the Austrian state of Styria,"",,,,,,
Q1509909,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1511470,Q17535155,member of the National Council of Austria,"","",,,,,,
Q15114761,Q17535155,member of the National Council of Austria,"",2013-10-29,,,,,,"Austrian legislative election, 2013"
Q15115562,Q17535155,member of the National Council of Austria,"","",,,,,,
Q15116861,Q17535155,member of the National Council of Austria,"",2013-10-29,,,,,,
Q1514377,Q1343573,Member of state parliament,representative of the voters to a state or provincial parliament,"",,,,,,
Q1514377,Q17535155,member of the National Council of Austria,"",2013-04-24,2016-06-22,,,,,
Q1514377,Q19666653,Landesrat,member of a state government of an Austrian federal state,2016-06-23,,,,,,
Q1515750,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1522895,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1527486,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1531346,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1531346,Q18821575,Member of the Landtag of Lower Austria,"","",,,,,,
Q15428555,Q17535155,member of the National Council of Austria,"","",,,,,,
Q15431611,Q17535155,member of the National Council of Austria,"","",,,,,,
Q15431613,Q17535155,member of the National Council of Austria,"","",,,,,,
Q15431972,Q17535155,member of the National Council of Austria,"","",,,,,,
Q15433887,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1549133,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1549133,Q19360771,member of the Austrian federal council,"","",,,,,,
Q15507892,Q17535155,member of the National Council of Austria,"","",,,,,,
Q15526234,Q17535155,member of the National Council of Austria,"","",,,,,,
Q15602114,Q17535155,member of the National Council of Austria,"","",,,,,,
Q15602115,Q17535155,member of the National Council of Austria,"","",,,,,,
Q15616494,Q17535155,member of the National Council of Austria,"","",,,,,,
Q15616501,Q17535155,member of the National Council of Austria,"",2013-10-29,,,,,,
Q15618404,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1562314,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1576110,Q17535155,member of the National Council of Austria,"","",,,,,,
Q1576110,Q18821575,Member of the Landtag of Lower Austria,"","",,,,,,
Q15783312,Q17535155,member of the National Council of Austria,"","",,,,,,
Q15783437,Q17535155,member of the National Council of Austria,"","",,,,,,
Q15784193,Q17535155,member of the National Council of Austria,"","",,,,,,
Q15784856,Q17535155,member of the National Council of Austria,"",2013-10-29,,,,,,
Q15787318,Q1343573,Member of state parliament,representative of the voters to a state or provincial parliament,2015,,,Vienna,,,
Q15787318,Q17535155,member of the National Council of Austria,"",2013-10-29,2015-10-09,,,,Claudia Gamon,
Q15787318,Q23711521,Member of the regional parliament of Vienna,"","",,,,,,
Q15792244,Q17535155,member of the National Council of Austria,"","",,,,,,
Q15794373,Q17535155,member of the National Council of Austria,"",2013-10-29,2017-11-08,,,,,
Q15807820,Q17535155,member of the National Council of Austria,"",2013-10-29,,,,,,
Q15808914,Q17535155,member of the National Council of Austria,"","",,,,,,
Q15811789,Q17535155,member of the National Council of Austria,"","",,,,,,
Q15811958,Q17535155,member of the National Council of Austria,"",2013-10-29,"",,,,,
Q15821001,Q17535155,member of the National Council of Austria,"",2013-10-29,,,,,,
Q15822812,Q17535155,member of the National Council of Austria,"","",,,,,,
Q15823205,Q17535155,member of the National Council of Austria,"",2013-10-29,,,,,,
Q15823761,Q17535155,member of the National Council of Austria,"",2013-12-17,2016-05-18,,,Sonja Steßl,,
Q15825675,Q17535155,member of the National Council of Austria,"","",,,,,,
Q15825675,Q19360771,member of the Austrian federal council,"","",,,,,,
Q15833904,Q17535155,member of the National Council of Austria,"","",,,,,,
