name,wikidata,area,area_id,area_wikidata,party,party_id,party_wikidata,term,id
Adil Abış oğlu  Əliyev,Q12835439,Nərimanov II seçim dairəsi,20,Q12835110,Independent,IND,Q327591,5,Q12835439
Adil Abış oğlu  Əliyev,Q12835439,Nərimanov II seçim dairəsi,20,Q12835110,Independent,IND,Q327591,4,Q12835439
Aqil Məhəmməd oğlu  Abbas,Q4054391,Ağcabədi-Füzuli seçim dairəsi,83,Q12835231,Independent,IND,Q327591,5,Q4054391
Aqil Məhəmməd oğlu  Abbas,Q4054391,Ağcabədi-Füzuli seçim dairəsi,83,Q12835231,Independent,IND,Q327591,4,Q4054391
Aqiyə Həbib qızı  Naxçıvanlı,Q19713062,Oğuz-Qəbələ seçim dairəsi,117,Q12835048,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,5,Q19713062
Aqiyə Həbib qızı  Naxçıvanlı,Q19713062,Oğuz-Qəbələ seçim dairəsi,117,Q12835048,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,4,Q19713062
Araz Məmməd-Mübariz oğlu  Əlizadə,Q4062335,Xətai III seçim dairəsi,35,Q12835137,Azərbaycan Sosial Demokrat Partiyası,Azərbaycan Sosial Demokrat Partiyası,Q117723,5,Q4062335
Arif Qafar oğlu  Rəhimzadə,Q16364619,Neftçala seçim dairəsi,61,Q12835190,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,5,Q16364619
Arif Qafar oğlu  Rəhimzadə,Q16364619,Neftçala seçim dairəsi,61,Q12835190,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,4,Q16364619
Asim Nazim oğlu  Mollazadə,Q4300474,Nəsimi II seçim dairəsi,22,Q12835112,Azərbaycan Demokratik İslahatlar Partiyası,Azərbaycan Demokratik İslahatlar Partiyası,Q289893,5,Q4300474
Asim Nazim oğlu  Mollazadə,Q4300474,Nəsimi II seçim dairəsi,22,Q12835112,Azərbaycan Demokratik İslahatlar Partiyası,Azərbaycan Demokratik İslahatlar Partiyası,Q289893,4,Q4300474
Aslan Məmmədhüseyn oğlu  Cəfərov,Q20556703,Astara seçim dairəsi,77,Q12835215,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,4,Q20556703
Astan Nuşrəvan oğlu  Şahverdiyev,Q16364732,Cəbrayıl-Qubadlı seçim dairəsi,120,Q12835049,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,5,Q16364732
Astan Nuşrəvan oğlu  Şahverdiyev,Q16364732,Cəbrayıl-Qubadlı seçim dairəsi,120,Q12835049,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,4,Q16364732
Aydın Böyükkişi oğlu  Mirzəzadə,Q2047294,Mingəçevir seçim dairəsi,47,Q12835160,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,5,Q2047294
Aydın Böyükkişi oğlu  Mirzəzadə,Q2047294,Mingəçevir seçim dairəsi,47,Q12835160,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,4,Q2047294
Aydın Nəsir oğlu  Hüseynov,Q28527824,Qaradağ seçim dairəsi,11,Q12835050,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,5,Q28527824
Aytən İnqilab qızı  Mustafazadə,Q16364940,Yasamal II seçim dairəsi,16,Q12835068,Independent,IND,Q327591,5,Q16364940
Azay Əjdər oğlu  Quliyev,Q4151832,Binəqədi I seçim dairəsi,8,Q12835241,Independent,IND,Q327591,5,Q4151832
Azər Camal oğlu  Badamov,Q19713275,Qusar seçim dairəsi,51,Q12835174,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,5,Q19713275
Azər Camal oğlu  Badamov,Q19713275,Qusar seçim dairəsi,51,Q12835174,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,4,Q19713275
Azər Şəmşid oğlu  Kərimli,Q12836332,Qax seçim dairəsi,112,Q12835039,Independent,IND,Q327591,5,Q12836332
Azər Şəmşid oğlu  Kərimli,Q12836332,Qax seçim dairəsi,112,Q12835039,Independent,IND,Q327591,4,Q12836332
Ağacan Qulam oğlu  Abıyev,Q12836966,Suraxanı III seçim dairəsi,32,Q12835135,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,5,Q12836966
Ağacan Qulam oğlu  Abıyev,Q12836966,Suraxanı III seçim dairəsi,32,Q12835135,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,4,Q12836966
Ağalar İsrafil oğlu  Vəliyev,Q19713418,Goranboy-Ağdam-Tərtər seçim dairəsi,97,Q12835252,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,5,Q19713418
Bahar Əvəz qızı  Muradov,Q16365430,Füzuli seçim dairəsi,84,Q12835232,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,4,Q16365430
Bahar Əvəz qızı  Muradova,Q16365430,Füzuli seçim dairəsi,84,Q12835232,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,5,Q16365430
Bəxtiyar Həmzə oğlu  Əliyev,Q16365787,Ağdam şəhər seçim dairəsi,118,Q12835046,Independent,IND,Q327591,5,Q16365787
Bəxtiyar Həmzə oğlu  Əliyev,Q16365787,Ağdam şəhər seçim dairəsi,118,Q12835046,Independent,IND,Q327591,4,Q16365787
Bəxtiyar Yusif oğlu  Sadıqov,Q16365769,Ağdam qəsəbə seçim dairəsi,119,Q12835047,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,5,Q16365769
Bəxtiyar Yusif oğlu  Sadıqov,Q16365769,Ağdam qəsəbə seçim dairəsi,119,Q12835047,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,4,Q16365769
Cavanşir Hümmət oğlu  Paşazadə,Q16366024,Lənkəran-Masallı seçim dairəsi,75,Q12835217,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,5,Q16366024
Cavanşir Hümmət oğlu  Paşazadə,Q16366024,Lənkəran-Masallı seçim dairəsi,75,Q12835217,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,4,Q16366024
Cavanşir Əyyub oğlu  Feyziyev,Q19713709,Şəki qəsəbə II seçim dairəsi,115,Q12835042,Independent,IND,Q327591,5,Q19713709
Cavanşir Əyyub oğlu  Feyziyev,Q19713709,Şəki qəsəbə II seçim dairəsi,115,Q12835042,Independent,IND,Q327591,4,Q19713709
Cavid Həmid oğlu  Osmanov,Q61122675,Ağdaş seçim dairəsi,90,Q12835245,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,5,Q61122675
Cavid Qənbər oğlu  Qurbanov,Q16366053,Kəlbəcər seçim dairəsi,123,Q12835053,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,5,Q16366053
Cavid Qənbər oğlu  Qurbanov,Q16366053,Kəlbəcər seçim dairəsi,123,Q12835053,Yeni Azərbaycan Partiyası,Yeni Azərbaycan Partiyası,Q876402,4,Q16366053
Ceyhun Yunis oğlu  Osmanlı,Q12838167,Sabirabad I seçim dairəsi,63,Q12835196,Independent,IND,Q327591,4,Q12838167
