name,wikiname,area,area_id,party,party_id,term,source,last_seen
Vasif Talıbov,Vasif Talıbov,Şərur-Sədərək seçki dairəsi,1,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
İsa Həbibbəyli,İsa Həbibbəyli,Şərur seçki dairəsi,2,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Səttar Möhbalıyev,Səttar Möhbalıyev,Babək-Kəngərli-Naxçıvan seçki dairəsi,3,Independent,IND,4,,2016-07-02
Eldar İbrahimov,Eldar İbrahimov,Naxçıvan şəhər seçki dairəsi,4,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Siyavuş Novruzov,Siyavuş Novruzov,Şahbuz-Babək seçki dairəsi,5,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
İsmayıl Hacıyev,İsmayıl Hacıyev,Culfa-Babək seçki dairəsi,6,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Qüdrət Həsənquliyev,Qüdrət Həsənquliyev,Ordubad-Culfa seçki dairəsi,7,Bütöv Azərbaycan Xalq Cəbhəsi Partiyası,BAXCP,4,,2016-07-02
Oqtay Əsədov,Oqtay Əsədov,Binəqədi birinci seçki dairəsi,8,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Rafael Cəbrayılov,Rafael Cəbrayılov,Binəqədi ikinci seçki dairəsi,9,Independent,IND,4,,2016-07-02
Madər Musayev,Madər Musayev,Binəqədi üçüncü seçki dairəsi,10,Independent,IND,4,,2016-07-02
Ağalar Vəliyev,Ağalar Vəliyev,Qaradağ seçki dairəsi,11,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Mixail Zabelin,Mixail Zabelin,Qaradağ-Binəqədi-Yasamal seçki dairəsi,12,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Rauf Əliyev,Rauf Əliyev (millət vəkili),Xəzər birinci seçki dairəsi,13,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Mehriban Əliyeva,Mehriban Əliyeva,Xəzər ikinci seçki dairəsi,14,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Etibar Hüseynov,Etibar Hüseynov,Yasamal birinci seçki dairəsi,15,Independent,IND,4,,2016-07-02
Abel Məhərrəmov,Abel Məhərrəmov,Yasamal ikinci seçki dairəsi,16,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Ülvi Quliyev,Ülvi Quliyev,Yasamal üçüncü seçki dairəsi,17,Independent,IND,4,,2016-07-02
Rasim Musabəyov,Rasim Musabəyov,Nərimanov-Nizami seçki dairəsi,18,Independent,IND,4,,2016-07-02
Əli Əhmədov,Əli Əhmədov (millət vəkili),Nərimanov birinci seçki dairəsi,19,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Adil Əliyev,Adil Əliyev,Nərimanov ikinci seçki dairəsi,20,Independent,IND,4,,2016-07-02
Aytən Mustafayeva,Aytən Mustafayeva,Nəsimi birinci seçki dairəsi,21,Independent,IND,4,,2016-07-02
Asim Mollazadə,Asim Mollazadə,Nəsimi ikinci seçki dairəsi,22,Azərbaycan Demokratik İslahatlar Partiyası,DİP,4,,2016-07-02
Ziyad Səmədzadə,Ziyad Səmədzadə,Nəsimi-Səbail seçki dairəsi,23,Independent,IND,4,,2016-07-02
Rövnəq Abdullayev,Rövnəq Abdullayev,Nizami birinci seçki dairəsi,24,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Sədaqət Vəliyeva,Sədaqət Vəliyeva,Nizami ikinci seçki dairəsi,25,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Fazil Mustafa,Fazil Mustafa,Sabunçu birinci seçki dairəsi,26,Böyük Quruluş Partiyası,BQP,4,,2016-07-02
Qalib Salahzadə,Qalib Salahzadə,Sabunçu ikinci seçki dairəsi,27,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Eldar Quliyev,Eldar Quliyev (millət vəkili),Sabunçu üçüncü seçki dairəsi,28,Independent,IND,4,,2016-07-02
Fuad Muradov,Fuad Muradov,Səbail seçki dairəsi,29,Independent,IND,4,,2016-07-02
Sevinc Fətəliyeva,Sevinc Fətəliyeva,Suraxanı birinci seçki dairəsi,30,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Fərəc Quliyev,Fərəc Quliyev,Suraxanı ikinci seçki dairəsi,31,Independent,IND,4,,2016-07-02
Ağacan Əbiyev,Ağacan Əbiyev,Suraxanı üçüncü seçki dairəsi,32,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Hüseynbala Mirələmov,Hüseynbala Mirələmov,Xətai birinci seçki dairəsi,33,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Gülər Əhmədova,Gülər Əhmədova,Xətai ikinci seçki dairəsi,34,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
İqbal Ağazadə,İqbal Ağazadə,Xətai üçüncü seçki dairəsi,35,Ümid Partiyası,ÜP,4,,2016-07-02
Səməd Seyidov,Səməd Seyidov,Xətai dördüncü seçki dairəsi,36,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Aydın Abbasov,Aydın Abbasov,Nizami birinci (Gəncə) seçki dairəsi,37,Independent,IND,4,,2016-07-02
Asəf Hacıyev,Asəf Hacıyev,Nizami ikinci (Gəncə) seçki dairəsi,38,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Xanlar Fətiyev,Xanlar Fətiyev,Kəpəz birinci (Gəncə) seçki dairəsi,39,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Musa Quliyev,Musa Urud,Kəpəz ikinci (Gəncə) seçki dairəsi,40,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
Leyla Abdullayeva,Leyla Abdullayeva,Sumqayıt birinci seçki dairəsi,41,Yeni Azərbaycan Partiyası,YAP,4,,2016-07-02
