id,name,twitter,image
23352383,David Seymour,dbseymour,https://pbs.twimg.com/profile_images/539499004631842816/rio5lUkD.jpeg
31583101,James Shaw,jamespeshaw,https://pbs.twimg.com/profile_images/592089179879673856/WMRt3C9x.jpg
33189912,Adrian Rurawhe,adrianrurawhe,https://pbs.twimg.com/profile_images/464728081064660993/AHa6mJQS.jpeg
181012160,Christopher Bishop,cjsbishop,https://pbs.twimg.com/profile_images/726542948737814528/rtE5z4__.jpg
371019945,Barbara Kuriger MP,BarbaraKuriger,https://pbs.twimg.com/profile_images/723062300576358400/lfMsZ_G4.jpg
406860930,Mahesh Bindra,MaheshBindra,https://pbs.twimg.com/profile_images/479905138727874560/GuKTY-2F.jpeg
539548061,Jono Naylor MP,jono_naylor,https://pbs.twimg.com/profile_images/471187255436931072/db7ZcPxj.jpeg
559303030,Marama Fox,FoxMarama,https://pbs.twimg.com/profile_images/729856492447227904/dVDjUkmE.jpg
611683035,Carmel Sepuloni,CarmelSepuloni,https://pbs.twimg.com/profile_images/653705357127086081/NQ0ZQ1K2.jpg
614909398,Nuk Korako,Nuk_Korako,https://pbs.twimg.com/profile_images/699443941188333568/pJJuxyM-.jpg
1038333752,Brett Hudson,bhudson_nz,https://pbs.twimg.com/profile_images/461491110087372800/-HXVbQHy.jpeg
1437035906,Sarah Dowie,nzsarahdowie,https://pbs.twimg.com/profile_images/3674542463/0132f67665d03a051a34dbb509e7a54c.jpeg
1538485165,Pita Paraone,PitaParaone,""
1597501970,Clayton Mitchell NZ1,TickClayton,https://pbs.twimg.com/profile_images/782444326416637952/iTjsTbtH.jpg
2401210076,Jenny Salesa,JennySalesa,https://pbs.twimg.com/profile_images/446929052733952000/ie93rLIS.jpeg
2509728985,Alastair Scott ,AScottWairarapa,https://pbs.twimg.com/profile_images/468670924552548352/vyAMY-6c.jpeg
2543108298,Todd Muller,toddmullerBoP,https://pbs.twimg.com/profile_images/554388355081699328/NKeIxXSj.jpeg
2575758176,Fletcher Tabuteau,TabuteauNZFirst,https://pbs.twimg.com/profile_images/606965354015760385/oVBGAR8P.jpg
2582229654,Peeni Henare,PeeniHenare,https://pbs.twimg.com/profile_images/591695444603863041/4AKG1Zzl.jpg
2585342936,Darroch Ball,DarrochBall,https://pbs.twimg.com/profile_images/554944672821301248/0TTAC3c8.jpeg
2842312937,Stuart Smith,stuartsmithmp,https://pbs.twimg.com/profile_images/560529877737037825/DiU6k-z5.jpeg
2984570592,Todd Barclay,ToddBarclayMP,https://pbs.twimg.com/profile_images/582849460838907904/ZIFTh2v-.jpg
3094694155,Dr Shane Reti,DrShaneRetiMP,https://pbs.twimg.com/profile_images/577994501282627584/BUbJ5pq3.jpeg
