id,position,label,description,start_date,constituency,replaces,end_date,replaced_by,term,election
Q1036723,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1984,Wigram,John Kirk,2011,Megan Woods,,
Q1036723,Q5261068,Deputy Prime Minister of New Zealand,"",1999-12-05,,Wyatt Creech,2002-08-15,Michael Cullen,,
Q10987432,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q11021828,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q11022853,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q11035229,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1987,Bay of Islands,,1993,,,
Q11160035,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q1238979,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q1238979,Q6508547,Leader of the Opposition,parliamentary position of the Parliament of New Zealand,2003-10-28,,Bill English,2006-11-27,John Key,,
Q1266756,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1984-07-17,Ōhariu,Hugh Templeton,,,,
Q1279801,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q13503380,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q13548108,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q13563342,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q13566358,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q1396178,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"","",,2015-03-28,,51st New Zealand Parliament,
Q1396178,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1984-07-17,Tauranga,Keith Reading Allen,2005-09-17,Bob Clarkson,,
Q1396178,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,2015-03-28,Northland,Mike Sabin,,,51st New Zealand Parliament,
Q1396178,Q28841847,Member of the Privy Council of the United Kingdom,"","",,,,,,
Q1396178,Q5261068,Deputy Prime Minister of New Zealand,"",1996-12-16,,Don McKinnon,1998-08-14,Wyatt Creech,,
Q1396178,Q6866148,Minister of Foreign Affairs,Minister of Foreign Affairs for New Zealand,2005-10-19,,Phil Goff,2008-08-29,Helen Clark,,
Q1396178,Q991876,Minister of Māori Affairs,position,1990,,Koro Wētere,1991,Doug Kidd,,
Q15147913,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q15196319,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q1543207,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q15513198,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q16182,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q16192869,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"","",,,,51st New Zealand Parliament,
Q16192869,Q6866108,Minister of Education,minister in the government of New Zealand,2011-12-12,,Anne Tolley,,,,
Q16200287,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q16208070,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q1626808,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q16729720,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q16732336,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q17016818,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q17466674,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,2016-02-09,"",,,,51st New Zealand Parliament,
Q180383,Q1071117,Prime Minister of New Zealand,head of the New Zealand government,1999-12-05,,Jenny Shipley,2008-11-19,John Key,,
Q180383,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q180383,Q24558593,Administrator of the United Nations Development Programme,"",2009-04-17,,Kemal Derviş,,,,
Q180383,Q28841847,Member of the Privy Council of the United Kingdom,"","",,,,,,
Q180383,Q5261068,Deputy Prime Minister of New Zealand,"",1989-08-08,,,1990-11-02,,,
Q180383,Q6508547,Leader of the Opposition,parliamentary position of the Parliament of New Zealand,1993-12-01,,,1999-12-05,,,
Q180383,Q6866167,Minister of Health,minister responsible for the New Zealand Ministry of Health and the District Health Boards,1981-11-28,,,1990-11-02,,,
Q18097454,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q18097486,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q18097523,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q18097593,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q18098080,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q18098087,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q18098181,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q18098260,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q18098285,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q18098413,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q18098422,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q18098652,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q18098673,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q18098730,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q18167135,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q18167139,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q18167393,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q18167636,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q18167638,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q18167642,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q18167648,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q18330896,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q186074,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q19875535,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,2015-04-28,"",Winston Peters,,,51st New Zealand Parliament,
Q20983272,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,2015-11-04,"",,,,51st New Zealand Parliament,
Q2176896,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q2622925,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1981,St Kilda,William Fraser,1996,"",,
Q2622925,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1996,Dunedin South,"",1999,David Benson-Pope,,
Q2622925,Q5261068,Deputy Prime Minister of New Zealand,"",2002-08-15,,Jim Anderton,2008-11-19,Bill English,,
Q2622925,Q6866129,New Zealand finance minister,in New Zealand,1999-12-05,,Bill Birch,2008-11-19,Bill English,,
Q26845632,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,2016-10-07,"",,,,51st New Zealand Parliament,
Q27950864,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,2016-12-03,Mount Roskill,,,,51st New Zealand Parliament,"Mount Roskill by-election, 2016"
Q2920241,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
Q3272521,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,
