id,name__en,name__es,name__it,name__nl,name__fr,name__de,name__hu,name,wikipedia__en,gender,birth_date,given_name,original_wikiname,name__nb,name__da,name__nn,name__sv,name__id,wikipedia__fr,wikipedia__id,name__mg,wikipedia__mg,name__rw,wikipedia__rw,wikipedia__de,identifier__VIAF,name__ru,name__et,name__tr,name__pl,name__el,name__pt,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__hu,wikipedia__it,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__tr,image,death_date,wikipedia__sv,name__nds,wikipedia__nds,name__ku,name__yo,name__lt,name__ca,name__oc,wikipedia__ku,wikipedia__lt,wikipedia__yo,identifier__freebase,name__cs,name__sk,name__sr,wikipedia__sr,identifier__ISNI,identifier__LCAuth,identifier__BNF,identifier__SUDOC,name__en_ca,name__en_gb,name__fi,name__fo,name__is,name__kl,wikipedia__commons,wikipedia__ar,name__ar,name__ja,name__zh_hant,name__zh_cn,name__zh,name__eu,wikipedia__zh,wikipedia__vi,name__vi,wikipedia__plwikiquote,occupation,name__la,wikipedia__la,identifier__SELIBR,identifier__NTA,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cy,name__de_at,name__de_ch,name__eo,name__frc,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lv,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__simple,name__he,wikipedia__he,identifier__GND,wikipedia__ga,family_name,wikipedia__ml,wikipedia__ca,wikipedia__fi,twitter,name__ml,facebook
Q1026465,Rebecca Kadaga,Rebecca Kadaga,Rebecca Kadaga,Rebecca Kadaga,Rebecca Kadaga,Rebecca Kadaga,Rebecca Kadaga,Rebecca Kadaga,Rebecca Kadaga,female,1956-05-24,Rebecca,Rebecca Kadaga,Rebecca Kadaga,Rebecca Kadaga,Rebecca Kadaga,Rebecca Kadaga,,Rebecca Kadaga,,,,,,,,,,,,,,,,,,Rebecca Kadaga,,,,,"https://upload.wikimedia.org/wikipedia/commons/4/4d/Rebecca_Kadaga,_December_2017_(5122)_(cropped2).jpg",,,,,,,,,,,,,/m/07s414l,,,,,,,,,,,Rebecca Kadaga,,,,Category:Rebecca Kadaga,,,,,,,,,,,,lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,רבקה קדאגה,,,,,റെബേക്ക കഡഗ,Rebecca Kadaga,Rebecca Kadaga,,റെബേക്ക കഡഗ,
Q1173623,David Bahati,David Bahati,,David Bahati,David Bahati,David Bahati,David Bahati,David Bahati,David Bahati,male,1973-08-06,David,David Bahati,,,,David Bahati,,David Bahati,,,,,,David Bahati,,,,,,,David Bahati,,David Bahati,,,,,David Bahati,,,,,David Bahati,,,,,,,,,,,/m/08068lk,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1307960,Ken Lukyamuzi,Ken Lukyamuzi,,Ken Lukyamuzi,Ken Lukyamuzi,Ken Lukyamuzi,Ken Lukyamuzi,Ken Lukyamuzi,Ken Lukyamuzi,male,"",Ken,Ken Lukyamuzi,,,,,,,,,,,,Ken Lukyamuzi,311815105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/m/09dzrn,,,,,0000 0004 4373 9833,,,,,,,,,,,,,,,,,,,,,,politician,,,,376261552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16145569,Jim Muhwezi,,,Jim Muhwezi,Jim Muhwezi,Jim Muhwezi,,Jim Muhwezi,Jim Muhwezi,male,1950-08-23,Jim,Jim Muhwezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16148125,Charles Angina,,Charles Angina,Charles Angina,Charles Angina,Charles Angina,,Charles Angina,Charles Angina,male,1962-03-29,Charles,Charles Angina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16186459,Bright Rwamirama,,,,Bright Rwamirama,Bright Rwamirama,,Bright Rwamirama,Bright Rwamirama,male,1954-12-16,,Bright Rwamirama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16193010,Kamanda Bataringaya,,,Kamanda Bataringaya,Kamanda Bataringaya,Kamanda Bataringaya,,Kamanda Bataringaya,Kamanda Bataringaya,male,1959-12-24,,Kamanda Bataringaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16194624,James Kakooza,,,James Kakooza,James Kakooza,James Kakooza,,James Kakooza,James Kakooza,male,1962-02-18,James,James Kakooza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,accountant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kakooza,,,,,,
Q16196528,Evelyn Kaabule,,,Evelyn Kaabule,Evelyn Kaabule,Evelyn Kaabule,,Evelyn Kaabule,Evelyn Kaabule,female,1966-07-01,Evelyn,Evelyn Kaabule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16200545,Jennifer Namuyangu,,,,Jennifer Namuyangu,Jennifer Namuyangu,,Jennifer Namuyangu,Jenipher Namuyangu,female,1968-07-27,Jennifer,Jenipher Namuyangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
