id,name__sk,name__cs,name,wikipedia__cs,wikipedia__sk,gender,occupation,identifier__VIAF,birth_date,given_name,original_wikiname,name__pl,wikipedia__pl,image,name__id,name__de,name__en,name__fi,name__nl,name__ru,name__uk,name__fr,wikipedia__de,wikipedia__en,wikipedia__fi,wikipedia__id,wikipedia__ru,wikipedia__uk,identifier__freebase,name__rue,name__et,wikipedia__et,wikipedia__fr,wikipedia__rue,wikipedia__skwikiquote,identifier__EuroparlMEP,name__hu,wikipedia__hu,name__es,identifier__GND,identifier__LCAuth,identifier__FAST,name__pa,name__nb,name__da,name__nn,name__sv,wikipedia__commons,wikipedia__pa,identifier__SUDOC,identifier__IMDB,identifier__NKC,identifier__PACE,name__it,wikipedia__it,death_date,name__ca,name__gl,wikipedia__cswikiquote,name__af,name__an,name__ast,name__bar,name__br,name__bs,name__co,name__cy,name__eo,name__eu,name__fur,name__ga,name__gd,name__gsw,name__hr,name__is,name__lb,name__li,name__lij,name__lmo,name__lt,name__nap,name__nds,name__nds_nl,name__pcd,name__pms,name__pt,name__rm,name__ro,name__sc,name__scn,name__sco,name__sl,name__sq,name__tr,name__vec,name__vls,name__wa,name__ja,wikipedia__ca,wikipedia__eo,identifier__ISNI,identifier__BNF,identifier__MusicBrainz,identifier__BMLO,name__be_tarask,name__de_ch,name__en_ca,name__en_gb,wikipedia__be_x_old,wikipedia__itwikiquote,website,identifier__AlloCine,identifier__allmovie,identifier__SFDb,identifier__elonet,identifier__PORT,identifier__kinopoisk,identifier__CSFD,identifier__filmportal_de,family_name,name__zh,wikipedia__zh,identifier__quora,identifier__Munzinger,name__be,name__ko,name__he,name__ta,name__yo,name__oc,name__ms,name__el,name__ar,name__sr,name__mr,name__io,name__pt_br,name__vi,name__bg,name__ie,name__fa,name__mk,name__ka,name__la,name__sh,name__zh_hant,name__hsb,wikipedia__ar,wikipedia__ast,wikipedia__be,wikipedia__bg,wikipedia__da,wikipedia__el,wikipedia__es,wikipedia__fa,wikipedia__he,wikipedia__hr,wikipedia__hsb,wikipedia__huwikiquote,wikipedia__ie,wikipedia__io,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ruwikinews,wikipedia__sh,wikipedia__sr,wikipedia__sv,wikipedia__ta,wikipedia__tr,wikipedia__ukwikiquote,wikipedia__vi,wikipedia__yo,identifier__parlement,wikipedia__ro,name__dsb,name__lv,name__zh_cn,wikipedia__gl,wikipedia__lv,wikipedia__sl,wikipedia__ga,wikipedia__lt,name__ceb,name__eml,name__fo,name__frr,name__fy,name__jam,name__min,name__mt,name__tl,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,name__mg,wikipedia__mg,name__ty,name__qu,wikipedia__eu,wikipedia__qu,identifier__N6I,name__az,wikipedia__az,name__tt,identifier__bigenc_ru,twitter,name__bm,name__de_at,name__frc,name__frp,name__ia,name__kab,name__kg,name__nrm,name__pap,name__prg,name__rgn,name__sw,name__vmf,name__vo,name__wo,name__zu,name__sr_el,name__sr_ec,name__mn,wikipedia__mn,wikipedia__sq,name__szl,name__ba,name__hy,name__uz,wikipedia__ba,wikipedia__bs,wikipedia__gd,wikipedia__hy,wikipedia__sw,wikipedia__szl,wikipedia__uz,identifier__OLID,identifier__NTA,identifier__NSK,identifier__NLP,identifier__NNDB,wikipedia__sco,wikipedia__mk
Q1029481,Vincent Lukáč,Vincent Lukáč,Vincent Lukáč,Vincent Lukáč,Vincent Lukáč,male,ice hockey player,,1954-02-14,Vincent,Vincent Lukáč,Vincent Lukáč,Vincent Lukáč,https://upload.wikimedia.org/wikipedia/commons/5/5d/VincoLukáč.JPG,,Vincent Lukáč,Vincent Lukáč,Vincent Lukáč,Vincent Lukáč,,Вінцент Лукач,Vincent Lukáč,Vincent Lukáč,Vincent Lukáč,Vincent Lukáč,,,Вінцент Лукач,/m/0b1jww,,,,Vincent Lukáč,,,,,,Vincent Lukáč,,,,,,,,,Category:Vincent Lukáč,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vincent Lukáč,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vincent Lukáč,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1034084,István Harna,,István Harna,,István Harna,male,politician,,1940-09-02,István,István Harna,,,,,,István Harna,,István Harna,,,,,,,,,,,,,,,,,,Harna István,Harna István,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11692624,Dagmara Bollová,,Dagmara Bollová,,Dagmara Bollová,female,,,1942-09-16,Dagmara,Dagmar Bollová,Dagmara Bollová,Dagmara Bollová,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ダグマラ・ボルロヴァー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11711474,Igor Sidor,,Igor Sidor,,Igor Sidor,male,,,1964-02-06,Igor,Igor Sidor,Igor Sidor,Igor Sidor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11714338,Ivan Štefanec,,Ivan Štefanec,,Ivan Štefanec,male,politician,,1961-09-30,Ivan,Ivan Štefanec,Ivan Štefanec,Ivan Štefanec,https://upload.wikimedia.org/wikipedia/commons/d/de/Ivan_Štefanec.jpg,,Ivan Štefanec,Ivan Štefanec,,Ivan Štefanec,,Іван Штефанець,Ivan Štefanec,Ivan Štefanec,Ivan Štefanec,,,,Іван Штефанець,,,,,Ivan Štefanec,,,124929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11719711,Jana Žitňanská,Jana Žitňanská,Jana Žitňanská,Jana Žitňanská,Jana Žitňanská,female,politician,,1974-05-14,Jana,Jana Žitňanská,Jana Žitňanská,Jana Žitňanská,https://upload.wikimedia.org/wikipedia/commons/1/17/Robert_Bujna_Jana_Zitnanska_inauguracia_starostu_a_poslancov_obce_Kuchyna_01_crop.jpg,,Jana Žitňanská,Jana Žitňanská,,Jana Žitňanská,,,Jana Žitňanská,Jana Žitňanská,,,,,,,,,,Jana Žitňanská,,,124901,,,,,,,,,,,,Category:Jana Žitňanská,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11720759,Jaroslav Ivančo,,Jaroslav Ivančo,,Jaroslav Ivančo,male,,,1971-05-31,Jaroslav,Jaroslav Ivančo,Jaroslav Ivančo,Jaroslav Ivančo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11728689,Jozef Buček,,Jozef Buček,,Jozef Buček,male,,,1960-05-06,Jozef,Jozef Buček,Jozef Buček,Jozef Buček,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11728693,Jozef Hrdlička,,Jozef Hrdlička,,Jozef Hrdlička,male,,,1977-07-29,Jozef,Jozef Hrdlička,Jozef Hrdlička,Jozef Hrdlička,,,,Jozef Hrdlička,,Jozef Hrdlička,,,,,Jozef Hrdlička,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11728697,Jozef Viskupič,,Jozef Viskupič,,Jozef Viskupič,male,,,1976-02-08,Jozef,Jozef Viskupič,Jozef Viskupič,Jozef Viskupič,https://upload.wikimedia.org/wikipedia/commons/3/39/Jozef-Viskupic.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
