id,name__en,name__nl,name__de,name,wikipedia__en,gender,original_wikiname,given_name,name__it,name__fr,birth_date,wikipedia__fr,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__ca,name__co,name__cs,name__cy,name__da,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__es,name__et,name__eu,name__fi,name__frc,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__ia,name__id,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__ms,name__nap,name__nb,name__nds,name__nds_nl,name__nn,name__nrm,name__oc,name__pap,name__pcd,name__pl,name__pms,name__prg,name__pt,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sv,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ru,name__el,name__zh,name__ka,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__fi,wikipedia__gl,wikipedia__id,wikipedia__it,wikipedia__ka,wikipedia__mg,wikipedia__nl,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sv,wikipedia__zh,death_date,identifier__freebase,last_seen,occupation
Q16147702,Jean David Baba,Jean David Baba,Jean David Baba,Jean David Baba,Jean David Baba,male,Jean David Baba,Jean,,Jean David Baba,1971-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q16734830,Norovelomampionona Roberthine Rabetafika,,,Norovelomampionona Roberthine Rabetafika,Norovelomampionona Roberthine Rabetafika,female,Norovelomampionona Roberthine Rabetafika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q16734917,Hajanirina Lanto Ramaherijaona,,Hajanirina Lanto Ramaherijaona,Hajanirina Lanto Ramaherijaona,Hajanirina Lanto Ramaherijaona,male,Hajanirina Lanto Ramaherijaona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q16734952,José Martial Ranaivo,,José Martial Ranaivo,José Martial Ranaivo,José Martial Ranaivo,male,José Martial Ranaivo,José,,José Martial Ranaivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q16734964,Modeste Randriamanantena,,Modeste Randriamanantena,Modeste Randriamanantena,Modeste Randriamanantena,male,Modeste Randriamanantena,Modeste,Modeste Randriamanantena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q16734995,Léon Rasalama,,Léon Rasalama,Léon Rasalama,Léon Rasalama,male,Léon Rasalama,Léon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q16735028,Mamy Tiana Télésphore Gérard Ravelonanosy,,Mamy Tiana Télésphore Gérard Ravelonanosy,Mamy Tiana Télésphore Gérard Ravelonanosy,Mamy Tiana Télésphore Gérard Ravelonanosy,male,Mamy Tiana Télésphore Gérard Ravelonanosy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q16735050,Francette Razafindrakoto Harifanja,,Francette Razafindrakoto Harifanja,Francette Razafindrakoto Harifanja,Francette Razafindrakoto Harifanja,female,Francette Razafindrakoto Harifanja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q4026922,Harijaona Lovanantenaina Rakotonirina,Harijaona Lovanantenaina Rakotonirina,,Harijaona Lovanantenaina Rakotonirina,Harijaona Lovanantenaina Rakotonirina,male,Harijaona Lovanantenaina Rakotonirina,,,Harijaona Lovanantenaina Rakotonirina,1969-01-25,Harijaona Lovanantenaina Rakotonirina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q4665157,Abdoul Fatah,Abdoul Fatah,Abdoul Fatah,Abdoul Fatah,Abdoul Fatah (Malagasy politician),male,Abdoul Fatah (Malagasy politician),Abdoul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
