id,name__pt,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__ko,name__ru,name__fr,name__es,name__en,name__tr,name__fi,name__hu,name__it,name__et,name__id,name__de,name__ja,name__lt,name__nl,name__ar,name__sv,name__nb,name__fa,name__zh,name__hif,name__da,name__nn,name__mg,name,wikipedia__ar,wikipedia__de,wikipedia__en,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__hu,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__lt,wikipedia__mg,wikipedia__nl,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__simple,wikipedia__sv,wikipedia__tr,wikipedia__zh,image,gender,birth_date,identifier__freebase,given_name,website,identifier__FIFA,original_wikiname,family_name,name__ka,wikipedia__ka,name__ca,name__vi,name__ro,wikipedia__ca,wikipedia__ro,wikipedia__vi,name__bg,name__az,wikipedia__az,wikipedia__bg,name__be,name__hy,second_surname,name__eu,wikipedia__he,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cs,name__cy,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__frc,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lv,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__rm,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,name__he,wikipedia__commons,twitter,facebook,occupation
Q11954889,,,,,,,,,,,Virgilio Hernández Paesa,Virgilio Hernández Paesa,Virgilio Hernández Paesa,,,,,,,,,,,,,,,,,,,,Virgilio Hernández Paesa,,,,Virgilio Hernández,,,,,,,,,,,,,,,,,,,,,,male,1968-09-05,,Virgilio,,,Virgilio Hernández,,,,Virgilio Hernández Paesa,,,Virgilio Hernández Paesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13484890,,,,,,,,,,Габриэла Риваденейра,Gabriela Rivadeneira,Gabriela Rivadeneira,Gabriela Rivadeneira,,,Gabriela Rivadeneira,,,,Gabriela Rivadeneira,,,Gabriela Rivadeneira,,,,,,,,,,Gabriela Rivadeneira,,,Gabriela Rivadeneira,Gabriela Rivadeneira,,,,Gabriela Rivadeneira,Gabriela Rivadeneira,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/10/Gabriela_Rivadeneira_2015_(cropped).jpg,female,1983-07-25,/m/0w1f5f5,Gabriela,http://www.gabrielarivadeneira.com,,Gabriela Rivadeneira,,გაბრიელა რივადენეირა,გაბრიელა რივადენეირა,,,,,,,,,,,Габрыэла Рывадэнэйра,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q16297354,,,,,,,,,,,Rosana Alvarado,Rosana Alvarado,Rosana Alvarado,,,,Rosana Alvarado,,,,,,Rosana Alvarado,,,,,,,,,,Rosana Alvarado,,,,Rosana Alvarado,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2a/Rosana-Alvarado-Carrión_(8317578313).jpg,female,1977,,Rosana,,,Rosana Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alvaradorosana,alvaradorosana,lawyer
Q16298046,,,,,,,,,,,María Augusta Calle,María Augusta Calle,María Augusta Calle,,,María Augusta Calle,,,,María Augusta Calle,,,María Augusta Calle,,,,,,,,,,María Augusta Calle,,,,María Augusta Calle,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d0/María_Augusta_Calle.jpg,female,,,María,,,María Augusta Calle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Maria Augusta Calle,MACAesPAIS,,
Q16301572,,,,,,,,,,,Alexandra Ocles,Alexandra Ocles,Alexandra Ocles,,,,,,,,,,,,,,,,,,,,Alexandra Ocles,,,,Alexandra Ocles,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/81/Alexandra_Ocles_(cropped).png,female,1979-01-22,,Alexandra,,,Alexandra Ocles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alexocles,,
Q16301893,,,,,,,,,,,Raúl Patiño,Raúl Patiño,Raúl Patiño,,,,,,,,,,,,,,,,,,,,Raúl Patiño,,,,Raúl Patiño,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/42/Sesión_Inaugural_Asamblea_Nacional_2013-2017_(8741800638).jpg,male,1952-08-03,,Raúl,,,Raúl Patiño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16302212,,,,,,,,,,,,Lourdes Tibán,Lourdes Tibán,,,Lourdes Tibán,,,,,,,Lourdes Tibán,,,,,,,,,,Lourdes Tibán,,,Lourdes Tibán,Lourdes Tibán,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9c/Lourdes_Tibán_in_Feb_2012.jpg,female,1969-10-15,,,,,Lourdes Tibán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LourdesTiban,,
Q16302297,,,,,,,,,,,,Franco Romero,,,,,,,,,,,,,,,,,,,,,Franco Romero,,,,Franco Romero Loayza,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/8e/Sesión_Inaugural_Asamblea_Nacional_2013-2017_(8741769104).jpg,male,1951-08-25,,Franco,,,Franco Romero Loayza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16302329,,,,,,,,,,,,Cristina Reyes,,,,,,,,,,,,,,,,,,,,,Cristina Reyes,,,,Cristina Reyes,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/ba/Cristina_Reyes_2016.jpg,female,1981-08-26,,Cristina,,,Cristina Reyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16571637,,,,,,,,,,,,Gina Godoy,Gina Godoy,,,,,,,,,,,,,,,,,,,,Gina Godoy,,,Gina Godoy,Gina Godoy,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c2/Asambleísta_Gina_Godoy_en_la_Sesión_Inaugural_de_la_Asamblea_Nacional_2013-2017_(8741617556).jpg,female,1962-04-26,,Gina,,,Gina Godoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GinaGodoyAndrad,,
