id,name,faction,region,image,term,source
834468,Антонов Роман Валерьевич,«ЕДИНАЯ РОССИЯ»,Орловская область,http://www.duma.gov.ru/upload/iblock/9e3/9e38ac6870459d360cc91c3b3a51ca13.jpg,6,http://www.duma.gov.ru/structure/deputies/834468/
131456,Булаев Николай Иванович,«ЕДИНАЯ РОССИЯ»,Рязанская область,http://www.duma.gov.ru/upload/iblock/3a1/3a1bbd4d3a326525143299ef68df0a59.jpg,6,http://www.duma.gov.ru/structure/deputies/131456/
131226,Бычкова Евдокия Ивановна,«СПРАВЕДЛИВАЯ РОССИЯ»,Липецкая область,http://www.duma.gov.ru/upload/iblock/e6e/e6e3eb5dbfe12d027afc1cc8116c1a80.jpg,6,http://www.duma.gov.ru/structure/deputies/131226/
131468,Волков Юрий Николаевич,«ЕДИНАЯ РОССИЯ»,Калужская область,http://www.duma.gov.ru/upload/iblock/759/7591f47e0369a9eeb3d750f8e7c170d4.jpg,6,http://www.duma.gov.ru/structure/deputies/131468/
131484,Гольдштейн Ростислав Эрнстович,«ЕДИНАЯ РОССИЯ»,Амурская область,http://www.duma.gov.ru/upload/iblock/8a1/8a1c39d15479e01f8022ca5e9495207a.jpg,6,http://www.duma.gov.ru/structure/deputies/131484/
131292,Калашников Сергей Вячеславович,ЛДПР,"все субъекты Российской Федерации, Республика Крым, Город Севастополь",http://www.duma.gov.ru/upload/iblock/d29/d29c8091eac99ef326c5b3424a278932.jpg,6,http://www.duma.gov.ru/structure/deputies/131292/
131095,Клинцевич Франц Адамович,«ЕДИНАЯ РОССИЯ»,Смоленская область,http://www.duma.gov.ru/upload/iblock/4bb/4bb39a141775d3ac11731c51cc6e92ae.jpg,6,http://www.duma.gov.ru/structure/deputies/131095/
1133135,Коломиец Дмитрий Викторович,КПРФ,Краснодарский край,http://www.duma.gov.ru/upload/iblock/fb1/fb11a4b3a94e81041753afa63b67711f.jpg,6,http://www.duma.gov.ru/structure/deputies/1133135/
131378,Левченко Сергей Георгиевич,КПРФ,Иркутская область,http://www.duma.gov.ru/upload/iblock/c3d/c3d08373463eaa0be1b627ca2be05f02.jpg,6,http://www.duma.gov.ru/structure/deputies/131378/
131382,Мархаев Вячеслав Михайлович,КПРФ,Республика Бурятия,http://www.duma.gov.ru/upload/iblock/9a3/9a3cfc23fdfee5043180b9950a78170a.jpg,6,http://www.duma.gov.ru/structure/deputies/131382/
131253,Мизулина Елена Борисовна,«СПРАВЕДЛИВАЯ РОССИЯ»,Омская область,http://www.duma.gov.ru/upload/iblock/d0d/d0ddc4bf5919b5d8551c3e9cd3da1207.jpg,6,http://www.duma.gov.ru/structure/deputies/131253/
131476,Гальченко Валерий Владимирович,«ЕДИНАЯ РОССИЯ»,Костромская область,http://www.duma.gov.ru/upload/iblock/cbc/cbcfc04b6b51b5e3efaa4df66f7e7d6a.jpg,6,http://www.duma.gov.ru/structure/deputies/131476/
131249,Левичев Николай Владимирович,«СПРАВЕДЛИВАЯ РОССИЯ»,все субъекты Российской Федерации,http://www.duma.gov.ru/upload/iblock/996/996a9b75314d13e575bdf5f317f4e98d.jpg,6,http://www.duma.gov.ru/structure/deputies/131249/
131379,Лихачев Василий Николаевич,КПРФ,"Республика Татарстан (Татарстан) - Московская, Республика Татарстан (Татарстан) - Центральная",http://www.duma.gov.ru/upload/iblock/b48/b4859a66728bf043cee284493ee4b9ce.jpg,6,http://www.duma.gov.ru/structure/deputies/131379/
131317,Сироткин Сергей Никанорович,ЛДПР,"Ивановская область, Костромская область",http://www.duma.gov.ru/upload/iblock/44e/44e8263d50ef904345814b53bdef7e2e.jpg,6,http://www.duma.gov.ru/structure/deputies/131317/
131064,Эм Юрий Павлович,«ЕДИНАЯ РОССИЯ»,Ставропольский край,http://www.duma.gov.ru/upload/iblock/46a/46afe6c1c098abffcbfd9b14ac3521c2.jpg,6,http://www.duma.gov.ru/structure/deputies/131064/
131257,Москалькова Татьяна Николаевна,«СПРАВЕДЛИВАЯ РОССИЯ»,"Московская область - Истринская, Московская область - Химкинская",http://www.duma.gov.ru/upload/iblock/8a8/8a8c3ec9df1644acb70972b2f77549dc.jpg,6,http://www.duma.gov.ru/structure/deputies/131257/
131242,Зубов Валерий Михайлович,«СПРАВЕДЛИВАЯ РОССИЯ»,"Красноярский край, Томская область",http://www.duma.gov.ru/upload/iblock/8e0/8e04ee0158d0a0d516a766b4b5de0b6e.jpg,6,http://www.duma.gov.ru/structure/deputies/131242/
131267,Пономарев Илья Владимирович,«СПРАВЕДЛИВАЯ РОССИЯ»,Новосибирская область,http://www.duma.gov.ru/upload/iblock/bfa/bfa8668f50d3a057ff08ed4e2fcb1ed4.jpg,6,http://www.duma.gov.ru/structure/deputies/131267/
131337,Абалаков Александр Николаевич,КПРФ,Новосибирская область,http://www.duma.gov.ru/upload/iblock/cfe/cfee12301adcbb2dd190bc2af233e7bc.jpg,6,http://www.duma.gov.ru/structure/deputies/131337/
