id,name__zh,name,wikipedia__zh,name__en,wikipedia__en,gender,birth_date,image,family_name,given_name,identifier__freebase,name__de,name__nl,wikipedia__commons,name__es,name__yue,wikipedia__zh_yue,name__fr,name__zh_cn,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_mo,name__zh_my,name__zh_sg,name__zh_tw,name__it,name__nb,name__pt,wikipedia__pt
Q15936389,何潤生,何潤生,何潤生,Ho Ion Sang,Ho Ion Sang,male,1961-09-02,,,,,Ho Ion Sang,,,,,,,,,,,,,,,,,,
Q16187187,麥瑞權,麥瑞權,麥瑞權,Mak Soi Kun,Mak Soi Kun,male,1956-04-15,https://upload.wikimedia.org/wikipedia/commons/6/67/Mak_Soi_Kun.jpg,,,,Mak Soi Kun,,,,,,,,,,,,,,,,,,
Q4166149,崔世昌,崔世昌,崔世昌,Chui Sai Cheong,Chui Sai Cheong,male,1954-02-19,https://upload.wikimedia.org/wikipedia/commons/c/cb/Chui_Sai_Cheong.JPG,Cui,,,Chui Sai Cheong,Chui Sai Cheong,,Chui Sai Cheong,崔世昌,,Chui Sai Cheong,崔世昌,崔世昌,崔世昌,崔世昌,崔世昌,崔世昌,崔世昌,崔世昌,,,,
Q4776833,吳國昌,吳國昌,吳國昌,Antonio Ng,Antonio Ng,male,1957-09-26,,,Antonio,,Antonio Ng,,Category:Ng Kuok Cheong António,,,,,,,,,,,,,,,,
Q4818948,區錦新,區錦新,區錦新,Au Kam San,Au Kam San,male,1957-04-30,https://upload.wikimedia.org/wikipedia/commons/2/28/Au_Kam_San.JPG,Ou,,,Au Kam San,Au Kam San,Category:Au Kam San,,,,Au Kam San,,,,,,,,,,,,
Q6526282,梁安琪,梁安琪,梁安琪 (澳門),Angela Leong,Leong On-kei,female,1961-03-23,,Liang,Angela,,Angela Leong,Angela Leong,,Leong On-kei,,,Angela Leong,,梁安琪,梁安琪,,,,,,Angela Leong,Angela Leong,,
Q6657926,高天賜,高天賜,高天賜,José Pereira Coutinho,José Pereira Coutinho,male,1957-07-22,,,José,,José Pereira Coutinho,José Pereira Coutinho,,José Pereira Coutinho,,,,,,,,,,,,,,José Maria Pereira Coutinho,José Maria Pereira Coutinho
Q8264311,關翠杏,關翠杏,關翠杏,Kwan Tsui Hang,Kwan Tsui Hang,female,1949-09-22,https://upload.wikimedia.org/wikipedia/commons/1/15/Kwan_Tsui_Hang.jpg,Guan,,,Kwan Tsui Hang,,,Kwan Tsui Hang,關翠杏,,Kwan Tsui Hang,,,,關翠杏,,,,,,,,
Q8934457,崔世平,崔世平,崔世平,José Chui,,male,,,Cui,José,,José Chui,,,José Chui,崔世平,崔世平,,,,,,,,,,,,,
Q8941831,陳明金,陳明金,陳明金,Chan Meng Kam,Chan Meng Kam,male,1962-11-09,https://upload.wikimedia.org/wikipedia/commons/e/ed/Chan_Meng_Kam.jpg,Chen,,,Chan Meng Kam,Chan Meng Kam,,Chan Meng Kam,陳明金,,,,,,陳明金,,,,,,,,
Q8964500,高開賢,高開賢,高開賢,,,,1953-01-01,,Gao,,,,,,,,,,,,,,,,,,,,,
Q8991900,劉永誠,劉永誠,劉永誠,,,male,1954-01-01,https://upload.wikimedia.org/wikipedia/commons/8/8d/Lau_Veng_Seng.JPG,Liu,,,,,,,,,,,,,,,,,,,,,
Q9086939,鄭志強,鄭志強,鄭志強,,,,1982-01-26,,,,,,,,,,,,,,,,,,,,,,,
Q9093302,張立群 (澳門),張立群 (澳門),張立群 (澳門),,,male,,,,,,,,,,,,,,,,,,,,,,,,
Q9182800,馮志強 (澳門),馮志強 (澳門),馮志強 (澳門),Fong Chi Keong,Fong Chi Keong,male,1947-11-16,,Fung,,,Fong Chi Keong,,,Fong Chi Keong,,,,,,,,,,,,,,,
Q9300234,歐安利,歐安利,歐安利,Leonel Alberto Alves,Leonel Alberto Alves,male,1957-04-05,,,Leonel,,Leonel Alberto Alves,Leonel Alberto Alves,,Leonel Alberto Alves,,,Leonel Alberto Alves,,,,,,,,,,,,
Q9346254,賀一誠,賀一誠,賀一誠,Ho Iat Seng,Ho Iat Seng,male,1957-06-12,,,,,Ho Iat Seng,,,Ho Iat Seng,,,,,,,,,,,,,,,
