id,name,name__ar,wikipedia__ar,gender,given_name,birth_date,original_wikiname,name__en,occupation,name__nl,wikipedia__en,death_date,name__ru,family_name,name__de,name__fr,wikipedia__fr,image,name__es,twitter,identifier__google_knowledge,identifier__ISNI,name__fa,wikipedia__fa,wikipedia__ru,identifier__freebase,name__ja,name__hu,name__bn
Q12219876,Sakhr Al Wajih,صخر الوجية,صخر الوجية,male,,1962-01-01,,Sakhr Al Wajih,politician,,,,,,,,,,,,/g/11b6b4z2yw,,,,,,,,
Q12222730,,عبد الرحمن بافضل,عبد الرحمن بافضل,male,Abd al-Rahman,1948-04-09,,,politician,,,2015,,,,,,,,,,,,,,,,,
Q12227830,Ali ahmed Al Amrani,علي أحمد العمراني,علي أحمد العمراني,male,Ali,1957-01-01,,Ali ahmed Al Amrani,politician,,,,,,,,,,,,,,,,,,,,
Q12228803,Awd al-sqtry,عوض السقطري,عوض السقطري,male,,1957,,Awd al-sqtry,politician,,,2017-08-31,,,,Awd al-sqtry,,,,,,,,,,,,,
Q12240919,Mohammed Qahtan,محمد قحطان,محمد قحطان,male,Muhammed,"",,Mohammed Qahtan,politician,,,,,,,,,,Mohammed Qahtan,,/g/11h1v2bfk,,,,,,,,
Q16117607,,عبد الحميد محمد فرحان الشرعبي,عبد الحميد محمد فرحان الشرعبي,male,Abdul Hamid,1956,,,politician,,,,,,,,,,,,,,,,,,,,
Q16117624,,عبد الخالق عبد الحافظ بن شيهون,عبد الخالق عبد الحافظ بن شيهون,male,,1948,,,politician,,,,,,,,,,,,,,,,,,,,
Q16117628,,عبد الخالق عبده أحمد البركاني,عبد الخالق عبده أحمد البركاني,male,,1958-07-02,,,politician,,,,,,,,,,,,,,,,,,,,
Q16117677,,عبد الرحمن إبراهيم عبده نشطان,عبد الرحمن إبراهيم عبده نشطان,male,Abd al-Rahman,1961,,,politician,,,,,,,,,,,,,,,,,,,,
Q16117796,,قاسم محمد قاسم الكسادي,قاسم محمد قاسم الكسادي,male,,1970-06-01,,,politician,,,,,,,,,,,,,,,,,,,,
Q16117804,,قاسم ناصر أحمد حبيش,قاسم ناصر أحمد حبيش,male,,1973,,,politician,,,,,,,,,,,,,,,,,,,,
Q16117858,Abu Bakr Ahmed Abad Omar Abad,أبو بكر أحمد عباد عمر عباد,أبو بكر أحمد عباد عمر عباد,male,Abu Bakr,1948,,Abu Bakr Ahmed Abad Omar Abad,politician,,,,,,,,,,,,,,,,,,,,
Q16117869,,عبد الرحمن صالح مصلح معزب,عبد الرحمن صالح مصلح معزب,male,Abd al-Rahman,1972,,,politician,,,,,,,,,,,,,,,,,,,,
Q16117886,,عبد الرحمن عبد الله حسين المحبشي,عبد الرحمن عبد الله حسين المحبشي,male,Abd al-Rahman,1951,,,politician,,,,,,,,,,,,,,,,,,,,
Q16117893,,عبد الرحمن علي العشبي,عبد الرحمن علي العشبي,male,Abd al-Rahman,1960,,,politician,,,,,,,,,,,,,,,,,,,,
Q16117917,,عبد الرحمن محمد عبد الله الأكوع,عبد الرحمن محمد عبد الله الأكوع,male,Abd al-Rahman,1952,,,politician,,,,,,,,,,,,,,,,,,,,
Q16117998,,محسن علي عمر باصره,محسن علي عمر باصره,male,,1964-09-14,,,politician,,,,,,,,,,,,,,,,,,,,
Q16118003,Hamoud hammoud Yahya atef,حمود حمود يحيى عاطف,حمود حمود يحيى عاطف,male,,1944-01-01,,Hamoud hammoud Yahya atef,politician,,,,,,,,,,,,,,,,,,,,
Q16118032,,محسن محمد أحمد الأنسي,محسن محمد أحمد الأنسي,male,,1948,,,politician,,,,,,,,,,,,,,,,,,,,
Q16118086,,عبد السلام أحمد الدهبلي,عبد السلام أحمد الدهبلي,male,Abdus Salam,1966,,,politician,,,,,,,,,,,,,,,,,,,,
Q16118097,Hameed Abdullah sghaier Al-jabarti,حميد عبد الله صغير الجبرتي,حميد عبد الله صغير الجبرتي,male,,1962,,Hameed Abdullah sghaier Al-jabarti,politician,,,,,,,,,,,,,,,,,,,,
Q16118105,,حميد محمد علي أحمد شعبين,حميد محمد علي أحمد شعبين,male,,1968,,,politician,,,,,,,,,,,,,,,,,,,,
Q16118142,,عبد السلام صالح هشول زابية,عبد السلام صالح هشول زابية,male,Abdus Salam,1969,,,politician,,,,,,,,,,,,,,,,,,,,
Q16118166,Abdul Aziz Jubari,عبد العزيز جباري,عبد العزيز جباري,male,Abdelaziz,1963-01-01,,Abdul Aziz Jubari,politician,,,,,,,,,,,,,,,,,,,,
Q16118177,Abdul-Aziz Ahmed crew,عبد العزيز أحمد كرو,عبد العزيز أحمد كرو,male,Abdel Aziz,1949,,Abdul-Aziz Ahmed crew,politician,,,,,,,,,,,,,,,,,,,,
Q16118316,,عبد العزيز عبد الواحد علي الواحدي,عبد العزيز عبد الواحد علي الواحدي,male,Abdelaziz,,,,politician,,,,,,,,,,,,,,,,,,,,
