id,name__en,name__de,name__nl,name__fr,name,wikipedia__en,gender,occupation,original_wikiname,name__it,birth_date,given_name,death_date,name__so,wikipedia__so,name__id,wikipedia__id,name__hr,name__pt,name__sv,name__es,name__hu,name__hy,wikipedia__hy,name__cy,wikipedia__de,identifier__freebase,wikipedia__simple,image,name__tr,name__ru,wikipedia__ru,name__pl,name__ku_arab,name__ku_latn,name__fi,name__et,name__ja,name__el,name__ar,name__ku,name__th,name__zh,wikipedia__ar,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__it,wikipedia__ja,wikipedia__ku,wikipedia__nl,wikipedia__pl,wikipedia__sv,wikipedia__th,wikipedia__tr,wikipedia__zh,identifier__VIAF,identifier__SUDOC,name__nb,wikipedia__commons,wikipedia__no,wikipedia__pt,facebook,name__zh_hant,name__zh_cn,name__ca,wikipedia__ca,name__be,name__he,name__oc,name__bg,name__fa,name__ka,name__da,name__lt,name__mg,name__ko,name__vi,name__la,wikipedia__arwikinews,wikipedia__be,wikipedia__bg,wikipedia__da,wikipedia__fa,wikipedia__he,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__lt,wikipedia__mg,wikipedia__oc,wikipedia__ruwikinews,wikipedia__vi,name__uk,wikipedia__uk,identifier__BNF,identifier__leonore,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,name__yo,name__bcl,name__sk,name__cs,name__mwl,name__az,wikipedia__az,wikipedia__bcl,wikipedia__cs,wikipedia__mwl,wikipedia__plwikiquote,wikipedia__sk,wikipedia__srwikinews,wikipedia__yo,name__bn,wikipedia__bn,identifier__LCAuth,identifier__NTA,identifier__Oxforddnb,name__de_at,name__de_ch,name__en_ca,name__en_gb,identifier__GND,name__fo,name__kl,wikipedia__hr,website,identifier__ISNI,name__nn,name__sl,name__uz,wikipedia__uz,twitter,wikipedia__cy,name__sr,identifier__SELIBR,linkedin,family_name,pseudonym,identifier__FAST,identifier__OLID,identifier__Britannica
Q13626788,Ali Shido Abdi,Ali Shido Abdi,Ali Shido Abdi,Ali Shido Abdi,Ali Shido Abdi,Ali Shido Abdi,male,politician,Ali Shido Abdi,,,Ali,,Cali Shido Cabdi,Cali Shido Cabdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1380263,Salim Aliyow Ibrow,Salim Aliyow Ibrow,Salim Aliyow Ibrow,Salim Aliyow Ibrow,Salim Aliyow Ibrow,Salim Aliyow Ibrow,male,politician,,,"",Salim,,,,,,,,,Salim Aliyow Ibrow,Salim Aliyow Ibrow,,,,Salim Aliyow Ibrow,/m/03cptvt,,,,,,Salim Alijow Ibrow,,,Salim Aliyow Ibrow,,サリム・アリヨウ・イブロウ,Σαλίμ Αλιγιάου Ιμπράου,,,ซาลิม อะลิโยว์ อิโบรว์,,,Σαλίμ Αλιγιάου Ιμπράου,,,Salim Aliyow Ibrow,,,,,,Salim Alijow Ibrow,,ซาลิม อะลิโยว์ อิโบรว์,,,,,,,,,,薩利姆·阿利尤·伊布羅,萨利姆·阿利尤·伊布罗,Salim Aliyow Ibrow,Salim Aliyow Ibrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1397020,Abdi Yusuf hussein,Mohammed Abdi Yusuf,Muhammad Abdi Yusuf,Muhammad Abdi Yusuf,Abdi Yusuf hussein,Muhammad Abdi Yusuf,male,politician,Muhammad Abdi Yusuf,Muhammad Abdi Yusuf,1941-07-01,Maxamed,,Maxamed Cabdi Yuusuf,Maxamed Cabdi Yuusuf,,,,Muhammad Abdi Yusuf,,Muhammad Abdi Yusuf,Muhammad Abdi Yusuf,,,,Mohammed Abdi Yusuf,/m/02c6ht,,,,,,Muhammad Abdi Yusuf,,,Muhammad Abdi Yusuf,,ムハンマド・アブディ・ユスフ,,,,โมฮัมเหม็ด อับดี ยูซุฟ,,,,,,Muhammad Abdi Yusuf,,Mohamed Abdi Yusuf,,,,Muhammad Abdi Yusuf,,โมฮัมเหม็ด อับดี ยูซุฟ,,,,,,,,Muhammad Abdi Yusuf,,穆罕默德·阿卜迪·優素福,穆罕默德·阿卜迪·优素福,Muhammad Abdi Yusuf,Muhammad Abdi Yusuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0004 1732 8125,,,,,,,,,,,,,,
Q1497466,Geddi Abdi Gadid,Geddi Abdi Gadid,Geddi Abdi Gadid,Geddi Abdi Gadid,Geddi Abdi Gadid,Geddi Abdi Gadid,male,politician,Geddi Abdi Gadid,,"",,2010-08-24,,,,,,,,,,,,Geddi Abdi Gadid,Geddi Abdi Gadid,/m/0czcvsw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15131027,Mohamed Abdi Mohamed,Mohamed Abdi Mohamed,Mohamed Abdi Mohamed,Mohamed Abdi Mohamed,Mohamed Abdi Mohamed,Mohamed Abdi Mohamed,male,anthropologist,,Mohamed Abdi Mohamed,,Mohamed,,,,,,,,,Mohamed Abdi Mohamed,,,,,,,,,,,,,,,,,モハメド・アブディ・モハメド,,,,,,,,,,,,,,,,,,,,,64069089,031713718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12287796x,,,,,,,,,,,,,,,,,,,,,,n93006213,126912564,,,,,,,,,,,0000 0000 5337 7873,,,,,,,,239470,,Abdi,,,,
Q15997710,Hawo Tako,Hawo Tako,Hawo Tako,Hawo Tako,Hawo Tako,Hawo Tako,female,politician,Hawo Tako,,1925,,1948,,,,,,,,,,,,,,,,,,,,,,,,,,,حواء تاكو,,,,حواء تاكو,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16016266,Mohamed Said Sayruq,Mohamed Said Sayruq,Mohamed Said Sayruq,Mohamed Said Sayruq,Mohamed Said Sayruq,Mohamed Said Sayruq,male,politician,Mohamed Said Sayruq,,,Mohamed,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16016550,Mohamed Sheikh Osman,Mohamed Sheikh Osman,Mohamed Sheikh Osman,Mohamed Sheikh Osman,Mohamed Sheikh Osman,Mohamed Sheikh Osman,male,politician,Mohamed Sheikh Osman,,,Mohamed,2005-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16146341,Mohamed Ahmed Alin,Mohamed Ahmed Alin,Mohamed Ahmed Alin,Mohamed Ahmed Alin,Mohamed Ahmed Alin,Mohamed Ahmed Alin,male,politician,Mohamed Ahmed Alin,,,Mohamed,,,,,,,,,,,,,,,,,"https://upload.wikimedia.org/wikipedia/commons/4/40/UNPOS_CONFERENCE_SEPT_5th_and_6th,_Mogadishu_Somalia_(6129793466).jpg",,,,Mohamed Ahmed Alin,,,,,モハメド・アフメド・アリン,,,,,,,,,,,,,,,,Mohamed Ahmed Alin,,,,,,,,Category:Mohamed Ahmed Alin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16146972,Abdurrahman Mahmoud Aidiid,Abdurrahman Mahmoud Aidiid,Abdurrahman Mahmoud Aidiid,Abdurrahman Mahmoud Aidiid,Abdurrahman Mahmoud Aidiid,Abdurrahman Mahmoud Aidiid,male,politician,Abdurrahman Mahmoud Aidiid,Abdurrahman Mahmoud Aidiid,,Abdurrahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿卜杜勒-拉赫曼-馬哈茂德-埃德,阿卜杜勒-拉赫曼-马哈茂德-埃德,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
