id,name,party,party_id,district,image,website,email,twitter,identifier__represent
10524,Marc Garneau,Liberal,liberal,Notre-Dame-de-Grâce—Westmount,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/GarneauMarc_Lib.jpg,http://marcgarneau.liberal.ca,marc.garneau@parl.gc.ca,https://twitter.com/MarcGarneau,10524
1209,Gerry Ritz,Conservative,conservative,Battlefords—Lloydminster,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/RitzGerry_CPC.jpg,,gerry.ritz@parl.gc.ca,https://twitter.com/GerryRitzMP,1209
1265,Ralph Goodale,Liberal,liberal,Regina—Wascana,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/GoodaleRalphEdward_Lib.jpg,http://ralphgoodale.ca,ralph.goodale@parl.gc.ca,https://twitter.com/RalphGoodale,1265
1287,Deepak Obhrai,Conservative,conservative,Calgary Forest Lawn,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ObhraiDeepak_CPC.jpg,http://deepakobhrai.com,deepak.obhrai@parl.gc.ca,https://twitter.com/deepakobhrai,1287
1302,Jason Kenney,Conservative,conservative,Calgary Midnapore,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/KenneyJason_CPC.jpg,http://jasonkenney.ca,jason.kenney@parl.gc.ca,https://twitter.com/jkenney,1302
13218,Yvonne Jones,Liberal,liberal,Labrador,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/JonesYvonne_Lib.jpg,,Yvonne.Jones@parl.gc.ca,https://twitter.com/YvonneJJones,13218
1589,Hedy Fry,Liberal,liberal,Vancouver Centre,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/FryHedy__Lib.jpg,,hedy.fry@parl.gc.ca,https://twitter.com/HedyFry,1589
15975,Tony Clement,Conservative,conservative,Parry Sound—Muskoka,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ClementTony_CPC.jpg,http://tonyclement.ca,tony.clement@parl.gc.ca,https://twitter.com/TonyclementCPC,15975
16399,Peter Julian,NDP,ndp,New Westminster—Burnaby,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/JulianPeter_NDP.jpg,http://peterjulian.ca,peter.julian@parl.gc.ca,https://twitter.com/MPJulian,16399
1665,Hunter Tootoo,Liberal,liberal,Nunavut,,,Hunter.Tootoo@parl.gc.ca,,1665
1733,Stephen Harper,Conservative,conservative,Calgary Heritage,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/HarperStephen_CPC.jpg,,stephen.harper@parl.gc.ca,https://twitter.com/stephenharper,1733
1760,Geoff Regan,Liberal,liberal,Halifax West,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ReganGeoff_Lib.jpg,http://geoffregan.ca,geoff.regan@parl.gc.ca,https://twitter.com/geoffregan,1760
1787,Judy Sgro,Liberal,liberal,Humber River—Black Creek,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/SgroJudy_Lib.jpg,,judy.sgro@parl.gc.ca,https://twitter.com/JudySgroMP,1787
1795,David Anderson,Conservative,conservative,Cypress Hills—Grasslands,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/AndersonDavid_CPC.jpg,,david.anderson@parl.gc.ca,https://twitter.com/DavidAndersonSK,1795
1796,Larry Bagnell,Liberal,liberal,Yukon,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/40/BagnellLarry_LIB.jpg,,Larry.Bagnell@parl.gc.ca,https://twitter.com/LarryBagnell,1796
1804,Rodger Cuzner,Liberal,liberal,Cape Breton—Canso,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/CuznerRodger_Lib.jpg,,rodger.cuzner@parl.gc.ca,https://twitter.com/RodgerCuzner,1804
1806,Mark Eyking,Liberal,liberal,Sydney—Victoria,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/EykingMark_Lib.jpg,,mark.eyking@parl.gc.ca,https://twitter.com/MarkEyking_MP,1806
