id,name,party,party_id,district,image,website,email,twitter,identifier__represent
10524,Marc Garneau,Liberal,liberal,Notre-Dame-de-Grâce—Westmount,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/GarneauMarc_Lib.jpg,http://marcgarneau.liberal.ca/en,marc.garneau@parl.gc.ca,,10524
1209,Gerry Ritz,Conservative,conservative,Battlefords—Lloydminster,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/RitzGerry_CPC.jpg,http://gerryritz.ca,gerry.ritz@parl.gc.ca,,1209
1265,Ralph Goodale,Liberal,liberal,Regina—Wascana,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/GoodaleRalph_Lib.jpg,http://ralphgoodale.ca,ralph.goodale@parl.gc.ca,,1265
1287,Deepak Obhrai,Conservative,conservative,Calgary Forest Lawn,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/ObhraiDeepak_CPC.jpg,http://deepakobhrai.com,deepak.obhrai@parl.gc.ca,https://twitter.com/reelectdeepak,1287
1302,Jason Kenney,Conservative,conservative,Calgary Midnapore,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/42/KenneyJason_CPC.jpg,http://jasonkenneymp.ca,jason.kenney@parl.gc.ca,,1302
13218,Yvonne Jones,Liberal,liberal,Labrador,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/JonesYvonne_Lib.jpg,http://yjones.liberal.ca,Yvonne.Jones@parl.gc.ca,,13218
1589,Hedy Fry,Liberal,liberal,Vancouver Centre,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/FryHedy_Lib.jpg,http://www.hedyfry.com,hedy.fry@parl.gc.ca,,1589
15975,Tony Clement,Conservative,conservative,Parry Sound—Muskoka,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/ClementTony_CPC.jpg,http://tonyclement.ca,tony.clement@parl.gc.ca,https://twitter.com/TonyclementCPC,15975
16399,Peter Julian,NDP,ndp,New Westminster—Burnaby,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/JulianPeter_NDP.jpg,http://peterjulian.net,peter.julian@parl.gc.ca,,16399
1665,Hunter Tootoo,Independent,independent,Nunavut,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/TootooHunter_Lib.jpg,,Hunter.Tootoo@parl.gc.ca,,1665
1733,Stephen Harper,Conservative,conservative,Calgary Heritage,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/42/HarperStephen_CPC.jpg,,stephen.harper@parl.gc.ca,,1733
1760,Geoff Regan,Liberal,liberal,Halifax West,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/ReganGeoff_Lib.jpg,http://geoffregan.ca,geoff.regan@parl.gc.ca,,1760
1787,Judy A. Sgro,Liberal,liberal,Humber River—Black Creek,https://www.ourcommons.ca/Parliamentarians/Images/OfficialMPPhotos/42/SgroJudy_Lib.jpg,,judy.sgro@parl.gc.ca,,1787
