id,name__fr,name__ru,name__en,name__sv,name__es,name__nl,name__nb,name__da,name__nn,name__de,name__fi,name__fit,name,wikipedia__en,wikipedia__fr,wikipedia__ru,wikipedia__sv,image,gender,birth_date,identifier__freebase,given_name,website,original_wikiname,identifier__VIAF,name__uk,name__he,wikipedia__uk,name__zh,wikipedia__zh,identifier__BNF,identifier__SUDOC,identifier__ISNI,twitter,name__ta,name__en_ca,name__it,name__en_gb,name__af,name__ar,name__az,name__be,name__bg,name__br,name__ca,name__cs,name__cy,name__el,name__eo,name__et,name__eu,name__fa,name__ga,name__gd,name__hi,name__hr,name__hu,name__id,name__ie,name__io,name__is,name__iu,name__ja,name__ka,name__ko,name__kw,name__la,name__lb,name__lv,name__mn,name__mr,name__ms,name__my,name__oc,name__pdc,name__pl,name__pnb,name__pt,name__pt_br,name__qu,name__ro,name__sh,name__sk,name__sr,name__tl,name__tr,name__ur,name__uz,name__vi,name__yi,name__yo,name__zh_hans,name__pam,name__war,name__zh_hant,name__sq,name__sco,name__an,name__bs,name__gl,name__lmo,name__lt,name__nds,name__nds_nl,name__pms,name__sl,name__vec,name__wa,name__fo,name__kl,name__gsw,name__be_tarask,name__ne,name__pa,name__th,name__mg,name__hy,name__ast,wikipedia__af,wikipedia__ar,wikipedia__ast,wikipedia__az,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__br,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cswikiquote,wikipedia__cy,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__enwikinews,wikipedia__enwikiquote,wikipedia__enwikisource,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__ga,wikipedia__gd,wikipedia__gl,wikipedia__he,wikipedia__hewikiquote,wikipedia__hi,wikipedia__hr,wikipedia__hu,wikipedia__hy,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__iu,wikipedia__ja,wikipedia__ka,wikipedia__ko,wikipedia__kw,wikipedia__la,wikipedia__lb,wikipedia__lv,wikipedia__mg,wikipedia__mn,wikipedia__mr,wikipedia__ms,wikipedia__my,wikipedia__ne,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pam,wikipedia__pa,wikipedia__pdc,wikipedia__pl,wikipedia__pnb,wikipedia__pt,wikipedia__qu,wikipedia__ro,wikipedia__ruwikinews,wikipedia__ruwikiquote,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sq,wikipedia__sr,wikipedia__ta,wikipedia__th,wikipedia__tl,wikipedia__tr,wikipedia__ur,wikipedia__uz,wikipedia__vi,wikipedia__war,wikipedia__yi,wikipedia__yo,wikipedia__zhwikiquote,identifier__GND,identifier__LCAuth,identifier__IMDB,identifier__NLA,family_name,identifier__Munzinger,identifier__FAST,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,identifier__NNDB,name__ceb,identifier__MusicBrainz,identifier__discogs,identifier__NTA,name__yue,wikipedia__zh_yue,death_date,name__vmf,facebook,name__mk,name__de_ch,name__zh_yue,name__azb,name__xmf,name__bcl,name__ckb,wikipedia__azb,wikipedia__bcl,wikipedia__ckb,wikipedia__lt,wikipedia__ukwikiquote,wikipedia__xmf,name__bar,name__bm,name__co,name__de_at,name__frc,name__frp,name__fur,name__ia,name__jam,name__kab,name__kg,name__li,name__lij,name__min,name__nap,name__nrm,name__pap,name__pcd,name__prg,name__rgn,name__rm,name__sc,name__scn,name__sr_el,name__sw,name__vls,name__vo,name__wo,name__zu,name__ml,wikipedia__ml,name__ty,identifier__AlloCine,identifier__SFDb,identifier__Britannica
Q1396130,Luc Thériault,,Luc Thériault,Luc Thériault,Luc Thériault,Luc Thériault,Luc Thériault,Luc Thériault,Luc Thériault,Luc Thériault,,,Luc Thériault,Luc Thériault,Luc Thériault,,,,male,1960-01-31,,Luc,,Luc Thériault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luc Thériault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14946726,John Williamson,Джон Уильямсон,John Williamson,John Williamson,John Williamson,John Williamson,John Williamson,John Williamson,John Williamson,John Williamson,John Williamson,,John Williamson,John Williamson (Canadian politician),,,,https://upload.wikimedia.org/wikipedia/commons/a/a8/John_Williamson_MP.jpg,male,1970-01-30,,John,,John Williamson (Canadian politician),,,,,,,,,,,,,John Williamson,,John Williamson,,,,,John Williamson,John Williamson,John Williamson,John Williamson,,John Williamson,John Williamson,John Williamson,,John Williamson,,,John Williamson,John Williamson,,,,John Williamson,,,,,,,John Williamson,,,,,,,,John Williamson,,John Williamson,,,John Williamson,,John Williamson,,,John Williamson,,,,,,,,,,John Williamson,,John Williamson,John Williamson,John Williamson,John Williamson,John Williamson,John Williamson,John Williamson,John Williamson,John Williamson,John Williamson,John Williamson,,,John Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15054353,Mélanie Joly,,Mélanie Joly,,,Mélanie Joly,,,,Mélanie Joly,,,Mélanie Joly,Mélanie Joly,Mélanie Joly,,,https://upload.wikimedia.org/wikipedia/commons/4/45/MelanieJoly.jpg,female,1979-01-16,,Mélanie,,Mélanie Joly,,,,,,,,,,,,,,,,,,,,,,,,,,,,ملانی جولی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ملانی جولی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15300563,Ted Falk,,Ted Falk,,Ted Falk,Ted Falk,,,,Ted Falk,,,Ted Falk,Ted Falk,Ted Falk,,,,male,1960-05-23,,Ted,,Ted Falk,,,,,,,,,,,,Ted Falk,,,,,,,,,,,,,,,,,,,,,Ted Falk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15630791,Pierre Lemieux,Пьер Лемье,Pierre Lemieux,,,Pierre Lemieux,,,,Pierre Lemieux,,,Pierre Lemieux,Pierre Lemieux,Pierre Lemieux (homme politique),,,https://upload.wikimedia.org/wikipedia/commons/6/6b/Canada-USA_Sledge_Hockey_Match.jpg,male,1963-04-09,,Pierre,,Pierre Lemieux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1566929,Rob Nicholson,"Николсон, Роб",Rob Nicholson,Rob Nicholson,Rob Nicholson,Rob Nicholson,Rob Nicholson,Rob Nicholson,Rob Nicholson,Rob Nicholson,,,Rob Nicholson,Rob Nicholson,Rob Nicholson (homme politique),"Николсон, Роб (политик)",,https://upload.wikimedia.org/wikipedia/commons/b/ba/Rob_Nicholson_2013_crop.jpg,male,1952-04-29,/m/053m4t,Rob,http://www.robnicholson.ca/,Rob Nicholson,,Роб Ніколсон,,Роб Ніколсон,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rob Nicholson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rob Nicholson,Rob Nicholson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16187027,Joan Crockatt,,Joan Crockatt,,,Joan Crockatt,,,,Joan Crockatt,,,Joan Crockatt,Joan Crockatt,Joan Crockatt,,,https://upload.wikimedia.org/wikipedia/commons/6/65/Joan_Crockatt.jpg,female,1955-12-05,,Joan,http://joancrockatt.ca,Joan Crockatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16187047,Kerry Diotte,,Kerry Diotte,,,Kerry Diotte,,,,Kerry Diotte,,,Kerry Diotte,Kerry Diotte,,,,https://upload.wikimedia.org/wikipedia/commons/2/20/2013-05-16_Kerry_Diotte.jpg,male,1956-02-26,,Kerry,,Kerry Diotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16192760,Carol Hughes,Кэрол Хьюз,Carol Hughes,,,Carol Hughes,,,,Carol Hughes,,,Carol Hughes,Carol Hughes (politician),,,,https://upload.wikimedia.org/wikipedia/commons/7/76/Carol_Hughes.jpg,female,1958-11-26,,Carol,,Carol Hughes (politician),,,,,,,,,,,,,Carol Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16193400,Susan Truppe,,Susan Truppe,,,Susan Truppe,,,,Susan Truppe,,,Susan Truppe,Susan Truppe,Susan Truppe,,,https://upload.wikimedia.org/wikipedia/commons/a/a9/Susan_Truppe.jpg,female,1959-08-20,,Susan,,Susan Truppe,,,,,,,,,,,,,Susan Truppe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
