id,name,party,district,website,email,twitter,party_id
13,Gerry Byrne,Liberal,Humber—St. Barbe—Baie Verte,http://www.gerrybyrne.ca,gerry.byrne@parl.gc.ca,https://twitter.com/Gerry_Byrne,liberal
33,Lawrence MacAulay,Liberal,Cardigan,http://lawrencemacaulay.liberal.ca,lawrence.macaulay@parl.gc.ca,https://twitter.com/L_MacAulayMP,liberal
43,Wayne Easter,Liberal,Malpeque,http://www.wayneeaster.com,wayne.easter@parl.gc.ca,https://twitter.com/WayneEaster,liberal
74,Scott Brison,Liberal,Kings—Hants,http://www.scottbrison.ca,scott.brison@parl.gc.ca,https://twitter.com/scottbrison,liberal
82,Peter MacKay,Conservative,Central Nova,http://www.petermackay.ca,peter.mackay@parl.gc.ca,https://twitter.com/MacKayCPC,conservative
88,Peter Stoffer,NDP,Sackville—Eastern Shore,http://peterstoffer.ndp.ca,peter.stoffer@parl.gc.ca,,ndp
91,Gerald Keddy,Conservative,South Shore—St. Margaret's,http://www.geraldkeddymp.ca,gerald.keddy@parl.gc.ca,https://twitter.com/GeraldKeddy,conservative
103,Yvon Godin,NDP,Acadie—Bathurst,http://www.yvongodin.ca,yvon.godin@parl.gc.ca,,ndp
232,Christine Moore,NDP,Abitibi—Témiscamingue,,Christine.Moore@parl.gc.ca,https://twitter.com/MooreNpd,ndp
318,Mathieu Ravignat,NDP,Pontiac,,Mathieu.Ravignat@parl.gc.ca,https://twitter.com/MRavignat,ndp
413,Louis Plamondon,Bloc Québécois,Bas-Richelieu—Nicolet—Bécancour,,louis.plamondon@parl.gc.ca,,bloc_québécois
425,Alain Giguère,NDP,Marc-Aurèle-Fortin,,Alain.Giguere@parl.gc.ca,,ndp
460,Stéphane Dion,Liberal,Saint-Laurent—Cartierville,,stephane.dion@parl.gc.ca,https://twitter.com/HonStephaneDion,liberal
681,Wayne Marston,NDP,Hamilton East—Stoney Creek,http://www.waynemarston.ndp.ca,wayne.marston@parl.gc.ca,,ndp
683,Chris Charlton,NDP,Hamilton Mountain,http://www.chrischarlton.ca,chris.charlton@parl.gc.ca,https://twitter.com/ChrisCharltonMP,ndp
695,Daryl Kramp,Conservative,Prince Edward—Hastings,http://www.darylkramp.ca,daryl.kramp@parl.gc.ca,https://twitter.com/darylkramp,conservative
764,Irene Mathyssen,NDP,London—Fanshawe,http://www.irenemathyssen.ca,irene.mathyssen@parl.gc.ca,https://twitter.com/irenemathyssen,ndp
820,Rob Nicholson,Conservative,Niagara Falls,http://www.robnicholson.ca,rob.nicholson@parl.gc.ca,https://twitter.com/HonRobNicholson,conservative
873,Mauril Bélanger,Liberal,Ottawa—Vanier,http://www.mauril.ca,mauril.belanger@parl.gc.ca,,liberal
891,Dave MacKenzie,Conservative,Oxford,http://www.davemackenzie.ca,dave.mackenzie@parl.gc.ca,https://twitter.com/DaveMacKenzieMP,conservative
913,Gary Schellenberger,Conservative,Perth—Wellington,http://schellenberger.ca,gary.schellenberger@parl.gc.ca,https://twitter.com/GSchellenberger,conservative
957,John McKay,Liberal,Scarborough—Guildwood,http://www.johnmckaymp.on.ca,john.mckay@parl.gc.ca,https://twitter.com/JohnMcKayLib,liberal
992,Carolyn Bennett,Liberal,St. Paul's,http://www.carolynbennett.ca,carolyn.bennett@parl.gc.ca,https://twitter.com/Carolyn_Bennett,liberal
1099,Jeff Watson,Conservative,Essex,http://www.jeffwatsonmp.ca,jeff.watson@parl.gc.ca,,conservative
1174,Pat Martin,NDP,Winnipeg Centre,http://www.patmartin.ca,pat.martin@parl.gc.ca,,ndp
1209,Gerry Ritz,Conservative,Battlefords—Lloydminster,http://www.gerryritz.ca,gerry.ritz@parl.gc.ca,,conservative
1262,Maurice Vellacott,Conservative,Saskatoon—Wanuskewin,http://www.mauricevellacott.ca,maurice.vellacott@parl.gc.ca,,conservative
1265,Ralph Goodale,Liberal,Wascana,http://www.ralphgoodale.ca,ralph.goodale@parl.gc.ca,https://twitter.com/RalphGoodale,liberal
1268,Garry Breitkreuz,Conservative,Yorkton—Melville,http://www.garrybreitkreuz.com,garry.breitkreuz@parl.gc.ca,,conservative
1287,Deepak Obhrai,Conservative,Calgary East,http://www.deepakobhrai.com,deepak.obhrai@parl.gc.ca,https://twitter.com/deepakobhrai,conservative
1295,Diane Ablonczy,Conservative,Calgary—Nose Hill,http://www.ablonczy.com,diane.ablonczy@parl.gc.ca,https://twitter.com/DianeAblonczy,conservative
1302,Jason Kenney,Conservative,Calgary Southeast,http://www.jasonkenney.ca,jason.kenney@parl.gc.ca,https://twitter.com/jkenney,conservative
1313,Rob Anders,Conservative,Calgary West,,rob.anders@parl.gc.ca,,conservative
1325,Peter Goldring,Conservative,Edmonton East,http://www.petergoldring.ca,peter.goldring@parl.gc.ca,https://twitter.com/PeterGoldring,conservative
1365,Leon Benoit,Conservative,Vegreville—Wainwright,http://www.leonbenoit.ca,leon.benoit@parl.gc.ca,https://twitter.com/LeonBenoitMP,conservative
1525,Richard Harris,Conservative,Cariboo—Prince George,http://www.dickharris.ca,richard.harris@parl.gc.ca,,conservative
1589,Hedy Fry,Liberal,Vancouver Centre,http://www.hedyfry.com,hedy.fry@parl.gc.ca,https://twitter.com/HedyFry,liberal
1598,Libby Davies,NDP,Vancouver East,http://www.libbydavies.ca,libby.davies@parl.gc.ca,https://twitter.com/LibbyDavies,ndp
1604,John Duncan,Conservative,Vancouver Island North,http://johnduncanmp.com,john.duncan@parl.gc.ca,https://twitter.com/JohnDuncanMP,conservative
1733,Stephen Harper,Conservative,Calgary Southwest,http://www.pm.gc.ca,stephen.harper@parl.gc.ca,https://twitter.com/pmharper,conservative
1760,Geoff Regan,Liberal,Halifax West,http://www.geoffregan.ca,geoff.regan@parl.gc.ca,https://twitter.com/geoffregan,liberal
1785,Irwin Cotler,Liberal,Mount Royal,,irwin.cotler@parl.gc.ca,https://twitter.com/IrwinCotler,liberal
1787,Judy Sgro,Liberal,York West,http://www.judysgro.ca,judy.sgro@parl.gc.ca,https://twitter.com/JudySgroMP,liberal
1795,David Anderson,Conservative,Cypress Hills—Grasslands,http://www.davidanderson.ca,david.anderson@parl.gc.ca,https://twitter.com/DavidAndersonSK,conservative
1803,Joe Comartin,NDP,Windsor—Tecumseh,http://www.joecomartin.ca,joe.comartin@parl.gc.ca,https://twitter.com/joecomartin,ndp
1804,Rodger Cuzner,Liberal,Cape Breton—Canso,http://rodgercuzner.liberal.ca,rodger.cuzner@parl.gc.ca,https://twitter.com/RodgerCuzner,liberal
1806,Mark Eyking,Liberal,Sydney—Victoria,http://markeyking.liberal.ca,mark.eyking@parl.gc.ca,https://twitter.com/MarkEyking_MP,liberal
1809,Cheryl Gallant,Conservative,Renfrew—Nipissing—Pembroke,http://www.cherylgallant.com,cheryl.gallant@parl.gc.ca,https://twitter.com/cherylgallant,conservative
1813,Dominic LeBlanc,Liberal,Beauséjour,http://www.dominicleblanc.ca,dominic.leblanc@parl.gc.ca,,liberal
1814,James Lunney,Independent,Nanaimo—Alberni,http://www.jameslunneymp.ca,james.lunney@parl.gc.ca,https://twitter.com/jameslunneymp,independent
1817,John McCallum,Liberal,Markham—Unionville,http://www.johnmccallum.ca,john.mccallum@parl.gc.ca,https://twitter.com/JohnMcCallumLPC,liberal
1819,James Moore,Conservative,Port Moody—Westwood—Port Coquitlam,http://www.jamesmoore.ca,james.moore@parl.gc.ca,https://twitter.com/JamesMoore_org,conservative
1826,James Rajotte,Conservative,Edmonton—Leduc,http://www.jamesrajottemp.ca,james.rajotte@parl.gc.ca,https://twitter.com/JamesRajotte,conservative
1827,Scott Reid,Conservative,Lanark—Frontenac—Lennox and Addington,http://www.scottreid.ca,scott.reid@parl.gc.ca,https://twitter.com/ScottReidCPC,conservative
1832,Kevin Sorenson,Conservative,Crowfoot,http://www.kevinsorenson.ca,kevin.sorenson@parl.gc.ca,,conservative
1838,Lynne Yelich,Conservative,Blackstrap,http://www.lynneyelich.ca,lynne.yelich@parl.gc.ca,https://twitter.com/Lynne_Yelich,conservative
2897,Elizabeth May,Green Party,Saanich—Gulf Islands,http://www.elizabethmaymp.ca,Elizabeth.May@parl.gc.ca,https://twitter.com/ElizabethMay,green_party
3242,Peggy Nash,NDP,Parkdale—High Park,http://peggynash.ndp.ca,Peggy.Nash@parl.gc.ca,https://twitter.com/PeggyNashNDP,ndp
3633,Jack Harris,NDP,St. John's East,http://www.jackharris.ca,jack.harris@parl.gc.ca,https://twitter.com/JackHarrisNDP,ndp
4255,Rodney Weston,Conservative,Saint John,http://www.rodneyweston.ca,rodney.weston@parl.gc.ca,https://twitter.com/rodneywestonsj,conservative
7251,Larry Maguire,Conservative,Brandon—Souris,http://www.larrymaguire.ca,Larry.Maguire@parl.gc.ca,https://twitter.com/LarryMaguireMP,conservative
9135,Massimo Pacetti,Independent,Saint-Léonard—Saint-Michel,,massimo.pacetti@parl.gc.ca,,independent
9137,Brian Masse,NDP,Windsor West,http://www.brianmasse.ca,brian.masse@parl.gc.ca,https://twitter.com/BrianMasseMP,ndp
9486,David McGuinty,Liberal,Ottawa South,http://davidmcguinty.ca,david.mcguinty@parl.gc.ca,https://twitter.com/DavidMcGuinty,liberal
10524,Marc Garneau,Liberal,Westmount—Ville-Marie,,marc.garneau@parl.gc.ca,https://twitter.com/MarcGarneau,liberal
13218,Yvonne Jones,Liberal,Labrador,http://yvonnejones.liberal.ca,Yvonne.Jones@parl.gc.ca,https://twitter.com/YvonneJJones,liberal
15975,Tony Clement,Conservative,Parry Sound—Muskoka,http://www.tonyclement.ca,tony.clement@parl.gc.ca,https://twitter.com/TonyclementCPC,conservative
16399,Peter Julian,NDP,Burnaby—New Westminster,http://www.peterjulian.ca,peter.julian@parl.gc.ca,https://twitter.com/MPJulian,ndp
17210,Rob Moore,Conservative,Fundy Royal,http://www.robmooremp.com,rob.moore@parl.gc.ca,https://twitter.com/RobMoore_CPC,conservative
20878,Kerry-Lynne D. Findlay,Conservative,Delta—Richmond East,http://www.kerrylynnefindlaymp.ca,Kerry-Lynne.Findlay@parl.gc.ca,https://twitter.com/KerryLynneFindl,conservative
23897,Russ Hiebert,Conservative,South Surrey—White Rock—Cloverdale,http://www.russhiebert.ca,russ.hiebert@parl.gc.ca,https://twitter.com/HiebertRuss,conservative
23915,Guy Caron,NDP,Rimouski-Neigette—Témiscouata—Les Basques,,Guy.Caron@parl.gc.ca,https://twitter.com/GuyCaronNPD,ndp
25446,Dean Allison,Conservative,Niagara West—Glanbrook,http://www.deanallison.ca,dean.allison@parl.gc.ca,https://twitter.com/DeanAllisonMP,conservative
25447,Rona Ambrose,Conservative,Edmonton—Spruce Grove,http://www.ronaambrose.com,rona.ambrose@parl.gc.ca,https://twitter.com/RonaAmbrose,conservative
25448,Joe Preston,Conservative,Elgin—Middlesex—London,http://www.joeprestonmp.ca,joe.preston@parl.gc.ca,https://twitter.com/Joe_Preston,conservative
25453,Francis Scarpaleggia,Liberal,Lac-Saint-Louis,,francis.scarpaleggia@parl.gc.ca,https://twitter.com/ScarpaleggiaLSL,liberal
25454,Andrew Scheer,Conservative,Regina—Qu'Appelle,http://www.andrewmp.ca,andrew.scheer@parl.gc.ca,https://twitter.com/andrewscheer,conservative
25456,Scott Simms,Liberal,Bonavista—Gander—Grand Falls—Windsor,http://www.scottsimms.com,scott.simms@parl.gc.ca,https://twitter.com/Scott_Simms,liberal
25461,David Tilson,Conservative,Dufferin—Caledon,http://www.davidtilson.ca,david.tilson@parl.gc.ca,https://twitter.com/davidtilson,conservative
25462,Brad Trost,Conservative,Saskatoon—Humboldt,http://www.bradtrost.ca,brad.trost@parl.gc.ca,https://twitter.com/BradTrostCPC,conservative
25465,Peter Van Loan,Conservative,York—Simcoe,http://www.petervanloan.com,peter.vanloan@parl.gc.ca,https://twitter.com/PeterVanLoan,conservative
25467,Mark Warawa,Conservative,Langley,http://www.markwarawa.com,mark.warawa@parl.gc.ca,https://twitter.com/MPmarkwarawa,conservative
25470,Charlie Angus,NDP,Timmins—James Bay,http://charlieangus.ndp.ca,charlie.angus@parl.gc.ca,https://twitter.com/CharlieAngusMP,ndp
25474,André Bellavance,Independent,Richmond—Arthabaska,,andre.bellavance@parl.gc.ca,https://twitter.com/AndreBellavance,independent
25475,James Bezan,Conservative,Selkirk—Interlake,http://www.jamesbezan.com,james.bezan@parl.gc.ca,https://twitter.com/jamesbezan,conservative
25478,Françoise Boivin,NDP,Gatineau,,Francoise.Boivin@parl.gc.ca,https://twitter.com/FBoivinNPD,ndp
25483,Gordon Brown,Conservative,Leeds—Grenville,http://www.gordbrownmp.ca,gord.brown@parl.gc.ca,,conservative
25486,Colin Carrie,Conservative,Oshawa,http://www.colincarriemp.ca,colin.carrie@parl.gc.ca,https://twitter.com/ColinCarrie,conservative
25488,Michael Chong,Conservative,Wellington—Halton Hills,http://www.michaelchong.ca,michael.chong@parl.gc.ca,https://twitter.com/MichaelChongMP,conservative
25489,David Christopherson,NDP,Hamilton Centre,http://www.davidchristopherson.ca,david.christopherson@parl.gc.ca,,ndp
25492,Jean Crowder,NDP,Nanaimo—Cowichan,http://www.jeancrowder.ca,jean.crowder@parl.gc.ca,https://twitter.com/JeanCrowder,ndp
25493,Nathan Cullen,NDP,Skeena—Bulkley Valley,http://www.nathancullen.com,nathan.cullen@parl.gc.ca,https://twitter.com/nathancullen,ndp
25497,Barry Devolin,Conservative,Haliburton—Kawartha Lakes—Brock,http://www.barrydevolin.ca,barry.devolin@parl.gc.ca,https://twitter.com/BarryDevolin_MP,conservative
25501,Diane Finley,Conservative,Haldimand—Norfolk,http://www.dianefinley.ca,diane.finley@parl.gc.ca,,conservative
25502,Steven Fletcher,Conservative,Charleswood—St. James—Assiniboia,http://www.stevenfletcher.ca,steven.fletcher@parl.gc.ca,https://twitter.com/HonSFletcherMP,conservative
25504,Gary Goodyear,Conservative,Cambridge,http://www.garygoodyear.com,gary.goodyear@parl.gc.ca,,conservative
25505,Nina Grewal,Conservative,Fleetwood—Port Kells,http://www.ninagrewal.ca,nina.grewal@parl.gc.ca,https://twitter.com/MPNinaGrewal,conservative
25511,Randy Kamp,Conservative,Pitt Meadows—Maple Ridge—Mission,http://www.randykamp.com,randy.kamp@parl.gc.ca,https://twitter.com/RandyKamp_com,conservative
25513,Ed Komarnicki,Conservative,Souris—Moose Mountain,http://www.edkom.ca,ed.komarnicki@parl.gc.ca,,conservative
25516,Guy Lauzon,Conservative,Stormont—Dundas—South Glengarry,http://www.guylauzon.ca,guy.lauzon@parl.gc.ca,,conservative
25520,Tom Lukiwski,Conservative,Regina—Lumsden—Lake Centre,http://www.tomlukiwski.com,tom.lukiwski@parl.gc.ca,,conservative
25522,Larry Miller,Conservative,Bruce—Grey—Owen Sound,http://www.larrymiller.ca,larry.miller@parl.gc.ca,https://twitter.com/LarryMillerMP,conservative
25523,Gordon O'Connor,Conservative,Carleton—Mississippi Mills,http://www.gordonoconnor.ca,gordon.oconnor@parl.gc.ca,,conservative
25524,Pierre Poilievre,Conservative,Nepean—Carleton,http://pierremp.ca,pierre.poilievre@parl.gc.ca,https://twitter.com/PierrePoilievre,conservative
25533,Joy Smith,Conservative,Kildonan—St. Paul,http://www.joysmith.ca,joy.smith@parl.gc.ca,https://twitter.com/MPJoySmith,conservative
26684,Thomas Mulcair,NDP,Outremont,,thomas.mulcair@parl.gc.ca,https://twitter.com/ThomasMulcair,ndp
29881,Philip Toone,NDP,Gaspésie—Îles-de-la-Madeleine,,Philip.Toone@parl.gc.ca,,ndp
30314,Brad Butt,Conservative,Mississauga—Streetsville,http://www.bradbuttmp.ca,Brad.Butt@parl.gc.ca,https://twitter.com/BradButtMP,conservative
30338,Rick Norlock,Conservative,Northumberland—Quinte West,http://www.ricknorlock.ca,rick.norlock@parl.gc.ca,https://twitter.com/RickNorlock,conservative
30418,Paul Calandra,Conservative,Oak Ridges—Markham,http://www.paulcalandra.com,paul.calandra@parl.gc.ca,https://twitter.com/PaulCalandra,conservative
30428,Dan Harris,NDP,Scarborough Southwest,http://danharris.ndp.ca,Dan.Harris@parl.gc.ca,https://twitter.com/danharrisndp,ndp
30467,John Rafferty,NDP,Thunder Bay—Rainy River,http://www.johnrafferty.ndp.ca,john.rafferty@parl.gc.ca,https://twitter.com/JohnRaffertyMP,ndp
30503,Chungsen Leung,Conservative,Willowdale,http://www.chungsenleung.ca,Chungsen.Leung@parl.gc.ca,https://twitter.com/csleungmp,conservative
30552,Kevin Lamoureux,Liberal,Winnipeg North,http://www.mpkevin.ca,kevin.lamoureux@parl.gc.ca,https://twitter.com/Kevin_Lamoureux,liberal
30645,Tim Uppal,Conservative,Edmonton—Sherwood Park,http://www.timuppal.ca,tim.uppal@parl.gc.ca,https://twitter.com/TimUppal,conservative
30812,Alice Wong,Conservative,Richmond,http://www.alicewong.ca,alice.wong@parl.gc.ca,,conservative
