id,name__ca,name__es,name__en,name__hu,name,wikipedia__ca,wikipedia__es,gender,birth_date,given_name,original_wikiname,death_date,name__it,name__fr,name__nl,name__de,wikipedia__en,image,identifier__freebase,name__nb,name__da,name__nn,name__sv,identifier__VIAF,identifier__BNF,identifier__SUDOC,identifier__OLID,name__cy,wikipedia__de,wikipedia__fr,identifier__LCAuth,name__pt,wikipedia__pt,name__pl,name__ru,wikipedia__it,wikipedia__no,wikipedia__pl,wikipedia__ru,website,wikipedia__commons,name__gl,name__ar,wikipedia__ar,wikipedia__sv,identifier__ISNI,identifier__GND,identifier__ULAN,identifier__BNE,identifier__britishmuseum,identifier__FAST,identifier__AGORHA,wikipedia__simple,name__qu,name__tr,name__fi,name__bs,name__io,name__ta,wikipedia__bswikiquote,wikipedia__da,wikipedia__eswikiquote,wikipedia__fi,wikipedia__io,wikipedia__qu,wikipedia__ta,wikipedia__tr,identifier__NTA,name__eo,name__yo,wikipedia__eo,wikipedia__yo,name__uk,name__az,wikipedia__az,wikipedia__uk,identifier__GTAA,name__bar,name__cs,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__gsw,name__nds,wikipedia__eswikisource,name__oc,wikipedia__gl,wikipedia__nds,wikipedia__oc,second_surname,name__id,wikipedia__id,identifier__NLA,twitter,name__hy,wikipedia__hy,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__eu,name__he,name__ko,name__et,name__ja,name__la,name__zh,name__is,name__ast,wikipedia__ast,wikipedia__et,wikipedia__eu,wikipedia__he,wikipedia__is,wikipedia__ja,wikipedia__ko,wikipedia__la,wikipedia__nl,wikipedia__zh,wikipedia__cs,wikipedia__hr,identifier__NLAtrove,family_name,name__af,name__hr,name__lt,name__ro,name__sk,name__sl,name__sq,identifier__CANTIC,name__an,wikipedia__an,identifier__NNDB,name__br,name__co,name__frp,name__fur,name__ga,name__gd,name__ia,name__ie,name__kg,name__lb,name__li,name__lij,name__mg,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__pcd,name__pms,name__pt_br,name__rm,name__sc,name__scn,name__sco,name__sr_el,name__sw,name__vec,name__vi,name__vls,name__vo,name__wa,name__wo,name__zu,name__ml,wikipedia__ml,name__mr,wikipedia__mr,wikipedia__mg,name__nov,name__pih,name__tl,wikipedia__tl,identifier__autores_uy,wikipedia__fa,name__fa,identifier__NLI,identifier__BVMC,wikipedia__ptwikiquote
Q1042871,Carlos Fernando Enciso Christiansen,Carlos Enciso,Carlos Enciso,Carlos Enciso,Carlos Enciso,Carlos Fernando Enciso Christiansen,Carlos Enciso,male,1967-08-23,Carlos,Carlos Enciso,,,Carlos Enciso,Carlos Enciso,Carlos Enciso,,,,,,,,,,,,,Carlos Enciso,,,,,,,,,,,,Category:Carlos Enciso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1042991,,Carlos Julio Pereyra,Carlos Julio Pereyra,Carlos Julio Pereyra,Carlos Julio Pereyra,,Carlos Julio Pereyra,male,1922-11-15,Carlos,Carlos Julio Pereyra,,,Carlos Julio Pereyra,Carlos Julio Pereyra,Carlos Julio Pereyra,,,,Carlos Julio Pereyra,Carlos Julio Pereyra,Carlos Julio Pereyra,Carlos Julio Pereyra,93346872,,120699532,,,Carlos Julio Pereyra,,n84022015,,,,,,,,,,Category:Carlos Julio Pereyra,,,,,0000 0000 7878 8775,132434164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,,,,,
Q1043081,Carlos Moreira Reisch,Carlos Moreira,Carlos Moreira,Carlos Moreira,Carlos Moreira,Carlos Moreira Reisch,Carlos Moreira,male,"",Carlos,Carlos Moreira,,,Carlos Moreira,Carlos Moreira,Carlos Moreira,,,,Carlos Moreira,Carlos Moreira,Carlos Moreira,Carlos Moreira,,,,,,Carlos Moreira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1047426,,Casiano Monegal,Casiano Monegal,,Casiano Monegal,,Casiano Monegal,male,1885,Casiano,Casiano Monegal,1944-10-12,,Casiano Monegal,Casiano Monegal,Casiano Monegal,,,,Casiano Monegal,Casiano Monegal,Casiano Monegal,Casiano Monegal,,,,,,Casiano Monegal,Casiano Monegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,,,,,
Q10953609,Antonio Marchesano,Antonio Marchesano,Antonio Marchesano,Antonio Marchesano,Antonio Marchesano,Antonio Marchesano,Antonio Marchesano,male,1930-11-07,Antonio,Antonio Marchesano,,Antonio Marchesano,Antonio Marchesano,Antonio Marchesano,Antonio Marchesano,Antonio Marchesano,,,,,,,,,,,,Antonio Marchesano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,アントニオ・マーチェサノ,,馬契桑諾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1148877,,Cyro Giambruno,Cyro Giambruno,Cyro Giambruno,Cyro Giambruno,,Cyro Giambruno,male,1898,Cyro,Cyro Giambruno,1948-06-01,,Cyro Giambruno,Cyro Giambruno,Cyro Giambruno,,,,Cyro Giambruno,Cyro Giambruno,Cyro Giambruno,Cyro Giambruno,,,,,,Cyro Giambruno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11679772,Alfredo Puig Spangenberg,Alfredo Puig Spangenberg,Alfredo Puig Spangenberg,Alfredo Puig Spangenberg,Alfredo Puig Spangenberg,Alfredo Puig Spangenberg,Alfredo Puig Spangenberg,male,1897,Alfredo,Alfredo Puig Spangenberg,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11703207,Ricardo Planchón Malán,Ricardo Planchón Malán,Ricardo Planchón Malán,Ricardo Planchón Malán,Ricardo Planchón Malán,Ricardo Planchón Malán,Ricardo Planchón Malán,male,1926-05-25,Ricardo,Ricardo Planchón Malán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11976,Lorenzo Batlle Pacheco,Lorenzo Batlle Pacheco,Lorenzo Batlle Pacheco,Lorenzo Batlle Pacheco,Lorenzo Batlle Pacheco,Lorenzo Batlle Pacheco,Lorenzo Batlle Pacheco,male,1897,Lorenzo,Lorenzo Batlle Pacheco,1954-12-03,Lorenzo Batlle Pacheco,Lorenzo Batlle Pacheco,Lorenzo Batlle Pacheco,Lorenzo Batlle Pacheco,Lorenzo Batlle Pacheco,,,Lorenzo Batlle Pacheco,Lorenzo Batlle Pacheco,Lorenzo Batlle Pacheco,Lorenzo Batlle Pacheco,,,,,,,,,,,,Лоренсо Батлье Пачеко,Lorenzo Batlle Pacheco,,,,,Category:Lorenzo Batlle Pacheco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorenzo Batlle Pacheco,,,Lorenzo Batlle Pacheco,Pacheco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batlle (surname),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8639,,,,,
Q1278756,,Eber da Rosa Viñoles,Eber da Rosa Viñoles,Eber da Rosa Viñoles,Eber da Rosa Viñoles,,Eber da Rosa Viñoles,male,1949-12-04,Eber,Eber da Rosa Viñoles,1997-02-25,,Eber da Rosa Viñoles,Eber da Rosa Viñoles,Eber da Rosa Viñoles,,,,,,,,,,,,,Eber da Rosa Viñoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
