id,name__fr,name__en,name,wikipedia__fr,gender,birth_date,death_date,given_name,original_wikiname,name__it,name__nl,name__hu,name__pt,name__es,name__de,wikipedia__en,wikipedia__pt,name__el,name__ty,name__nb,name__da,name__nn,name__sv,name__tr,name__pl,name__ko,wikipedia__el,wikipedia__ko,wikipedia__pl,wikipedia__tr,wikipedia__ty,image,family_name,identifier__sycomore,twitter,facebook,name__vi,name__ca,name__lt,name__fi,wikipedia__ca,wikipedia__es,wikipedia__fi,wikipedia__lt,wikipedia__no,wikipedia__vi,identifier__freebase,name__cy,name__ru,wikipedia__nl,wikipedia__ru,name__ja,name__en_ca,name__en_gb,wikipedia__de,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__EuroparlMEP,identifier__senatDOTfr,identifier__FAST,name__zh,website,name__et,name__hr,name__la,wikipedia__commons,wikipedia__et,wikipedia__hr,wikipedia__it,wikipedia__la,wikipedia__sv,name__sh,wikipedia__sh,wikipedia__ar,name__ar,name__zh_hant,name__zh_cn,wikipedia__zh,occupation
Q1106890,Édouard Fritch,Édouard Fritch,Édouard Fritch,Édouard Fritch,male,1952-01-04,,Édouard,Édouard Fritch,,Édouard Fritch,Édouard Fritch,,Édouard Fritch,Édouard Fritch,Édouard Fritch,,Εντουάρ Φριτς,Edouard Fritch,Édouard Fritch,Édouard Fritch,Édouard Fritch,Édouard Fritch,Édouard Fritch,Édouard Fritch,에두아르 프리슈,Εντουάρ Φριτς,에두아르 프리슈,Édouard Fritch,Édouard Fritch,Edouard Fritch,https://upload.wikimedia.org/wikipedia/commons/4/45/Édouard_Fritch_Marché_Papeete.JPG,Fritch,10617,,edouardfritch.depute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,愛德華·弗里奇,,,,,,,,,,,,,إدوارد فريتش,إدوارد فريتش,,,愛德華·弗里奇,politician
Q16024923,John Teariki,John Teariki,John Teariki,John Teariki,male,1914-07-12,1983-10-05,John,John Teariki,,,,,,,,,,,,,,,,,,,,,,,,,6972,,,,,,,,,,,,,,,,,,,,,,,207286085,,,,144137313,,,,,,,,,,,,,,,,,,,,,,politician
Q16266514,Roger Doom,Roger Doom,Roger Doom,Roger Doom,male,1935-02-15,2016-09-16,Roger,Roger Doom,Roger Doom,Roger Doom,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e1/Roger_DOOM.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q16538595,Charles Vernier,Charles Vernier,Charles Vernier,Charles Vernier (homme politique),male,1883-06-27,1966-06-12,Charles,Charles Vernier (homme politique),,,,,,,,,,,,,,,,,,,,,,,,,7225,,,,,,,,,,,,,,,,,,,,,,,227051039,,,10625110d,057756775,,,,,,,,,,,,,,,,,,,,,,politician
Q16631934,Emma Maraea,Emma Maraea,Emma Maraea,Emma Maraea,female,,,Emma,Emma Maraea,Emma Maraea,Emma Maraea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q16661468,Lucette Taero,Lucette Taero,Lucette Taero,Lucette Taero,female,1957-03-26,,Lucette,Lucette Taero,Lucette Taero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16679400,Teura Tarahu-Atuahiva,Teura Tarahu-Atuahiva,Teura Tarahu-Atuahiva,Teura Tarahu-Atuahiva,female,,,Teura,Teura Tarahu-Atuahiva,Teura Tarahu-Atuahiva,Teura Tarahu-Atuahiva,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/56/Teura_Tarahu-Atuahiva.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q16679402,Teva Rohfritsch,Teva Rohfritsch,Teva Rohfritsch,Teva Rohfritsch,male,1975-02-03,,,Teva Rohfritsch,Teva Rohfritsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16682589,Victor Maamaatuaiahutapu,Victor Maamaatuaiahutapu,Victor Maamaatuaiahutapu,Victor Maamaatuaiahutapu,male,,,Victor,Victor Maamaatuaiahutapu,Victor Maamaatuaiahutapu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician
Q16685221,Émile Le Caill,Émile Le Caill,Émile Le Caill,Émile Le Caill,male,1919,1985-10-13,Émile,Émile Le Caill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
