id,name,area,party,email,image,gender,term,source
133,HAUMANI Evans,Section 1 des îles du vent,Tahoera'a huiraatira,evans.haumani@assemblee.pf,http://www.assemblee.pf/_bdd/photos_elus/300x400/HAUMANI-Evans.jpg,m,2013,http://www.assemblee.pf/en/representants/vos-representants/trouvez-un-representant?rep=133
132,TAHIATA Fernand,Section des îles Australes,Tahoera'a huiraatira,fernand.tahiata@assemblee.pf,http://www.assemblee.pf/_bdd/photos_elus/300x400/TAHIATA-Fernand.jpg,m,2013,http://www.assemblee.pf/en/representants/vos-representants/trouvez-un-representant?rep=132
82,AH-SCHA Joseph,Section des îles Marquises,Rassemblement pour une majorité autonomiste,joseph.ah-scha@assemblee.pf,http://www.assemblee.pf/_bdd/photos_elus/300x400/AH-SCHA-Joseph.jpg,m,2013,http://www.assemblee.pf/en/representants/vos-representants/trouvez-un-representant?rep=82
87,BUILLARD Michel,Section 1 des îles du vent,Rassemblement pour une majorité autonomiste,michel.buillard@assemblee.pf,http://www.assemblee.pf/_bdd/photos_elus/300x400/BUILLARD-Michel.jpg,m,2013,http://www.assemblee.pf/en/representants/vos-representants/trouvez-un-representant?rep=87
62,DROLLET Jacqui (Vice-président),Section 2 des îles du vent,Union Pour La Démocratie,jacqui.drollet@assemblee.pf,http://www.assemblee.pf/_bdd/photos_elus/300x400/DROLLET-Jacqui.jpg,m,2013,http://www.assemblee.pf/en/representants/vos-representants/trouvez-un-representant?rep=62
88,FAATAU Félix,Section des îles-sous-le-Vent,Rassemblement pour une majorité autonomiste,felix.faatau@assemblee.pf,http://www.assemblee.pf/_bdd/photos_elus/300x400/FAATAU-Felix.jpg,m,2013,http://www.assemblee.pf/en/representants/vos-representants/trouvez-un-representant?rep=88
89,FLOHR Henri,Section 2 des îles du vent,Rassemblement pour une majorité autonomiste,henri.flohr@assemblee.pf,http://www.assemblee.pf/_bdd/photos_elus/300x400/FLOHR-Henri.jpg,m,2013,http://www.assemblee.pf/en/representants/vos-representants/trouvez-un-representant?rep=89
90,FONG LOI Charles,Section 1 des îles du vent,Rassemblement pour une majorité autonomiste,charles.fongloi@assemblee.pf,http://www.assemblee.pf/_bdd/photos_elus/300x400/FONG-LOI-Charles.jpg,m,2013,http://www.assemblee.pf/en/representants/vos-representants/trouvez-un-representant?rep=90
68,GÉROS Antony (Président),Section 2 des îles du vent,Union Pour La Démocratie,antony.geros@assemblee.pf,http://www.assemblee.pf/_bdd/photos_elus/300x400/GEROS-Antony.jpg,m,2013,http://www.assemblee.pf/en/representants/vos-representants/trouvez-un-representant?rep=68
92,GRAFFE Jacquie,Section 2 des îles du vent,Rassemblement pour une majorité autonomiste,jacquie.graffe@assemblee.pf,http://www.assemblee.pf/_bdd/photos_elus/300x400/GRAFFE-jacquie.jpg,m,2013,http://www.assemblee.pf/en/representants/vos-representants/trouvez-un-representant?rep=92
