id,label,type
Q12436652,Minister of Culture (France),cabinet
Q12479878,Minister of Information,cabinet
Q1408517,Minister of Labour,cabinet
Q15215099,Minister of the Armed Forces,cabinet
Q1587677,Prime Minister of France,cabinet
Q16059954,Minister of National Education,cabinet
Q17553783,Minister of Justice,cabinet
Q17618137,French Minister of the Economy,cabinet
Q19018174,Minister of War,cabinet
Q19018261,Deputy Prime Minister of France,cabinet
Q20202948,"Minister of the Economy, Finances and Industry",cabinet
Q20202980,Minister of Agriculture,cabinet
Q20203006,Minister of the Interior,cabinet
Q20203208,Minister of Foreign Affairs,cabinet
Q21113166,Minister of City Affairs,cabinet
Q21888124,Minister of Commerce,cabinet
Q25395297,Minister of Sport,cabinet
Q25398921,Minister of Higher Education,cabinet
Q29962874,Minister of Territorial Development,cabinet
Q29962890,Minister of Europe and Foreign Affairs,cabinet
Q29962937,Minister of Ecological and Solidary Transition,cabinet
Q29962994,Minister of Public Accounts and Action,cabinet
Q29963125,Minister for Overseas France,cabinet
Q29968038,"Minister of Higher Education, Research and Innovation",cabinet
Q3251870,Minister of Youth Affairs and Sports,cabinet
Q3251880,Minister of Health,cabinet
Q56880877,Minister of the Civil Service,cabinet
