id,name__uk,name,wikipedia__uk,gender,birth_date,original_wikiname,wikipedia__ukwikiquote,name__sk,name__pl,name__ru,name__en,name__hu,name__es,name__nl,name__fr,name__de,name__be,wikipedia__be,wikipedia__commons,wikipedia__en,wikipedia__hu,wikipedia__pl,wikipedia__ru,wikipedia__sk,image,identifier__freebase,given_name,name__ja,name__ca,name__lv,name__it,name__cs,wikipedia__ca,wikipedia__cs,wikipedia__de,wikipedia__fr,wikipedia__it,wikipedia__ja,wikipedia__lv,name__eo,name__fi,name__be_tarask,name__et,name__lt,name__nb,name__ar,wikipedia__ar,wikipedia__be_x_old,wikipedia__eo,wikipedia__et,wikipedia__fi,wikipedia__lt,wikipedia__nl,wikipedia__no,wikipedia__ruwikiquote,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__SUDOC,identifier__FAST,website,name__hy,name__vi,name__oc,name__sv,wikipedia__oc,wikipedia__sv,wikipedia__vi,twitter,name__nov,name__pih,name__sco,name__hr,name__ro,name__az,name__sh,wikipedia__az,wikipedia__es,wikipedia__hr,wikipedia__ro,wikipedia__ruwikinews,wikipedia__sh,identifier__IMDB,name__zh,wikipedia__zh,identifier__MusicBrainz,name__da,name__id,wikipedia__da,wikipedia__id,death_date,wikipedia__sco,facebook,name__he,wikipedia__he,name__el,identifier__BNF,identifier__NTA,identifier__ISNI,name__tr,name__crh_latn,name__de_ch,name__en_ca,name__en_gb,name__tt,wikipedia__crh,wikipedia__tr,wikipedia__trwikiquote,wikipedia__tt,wikipedia__plwikiquote,wikipedia__el,name__nn,family_name,name__ie,wikipedia__ie,name__fa,wikipedia__fa,name__cy,wikipedia__hy,wikipedia__hywikiquote,wikipedia__itwikiquote,name__gl,wikipedia__gl,name__ky,name__sr,name__bg,name__kk,name__lb,name__ko,name__pt,name__pt_br,wikipedia__bg,wikipedia__cy,wikipedia__kk,wikipedia__ko,wikipedia__ky,wikipedia__lb,wikipedia__nn,wikipedia__pt,wikipedia__sr,name__sgs,name__bn,wikipedia__bat_smg,wikipedia__bn,wikipedia__cswikiquote,wikipedia__ukwikinews,identifier__Munzinger,name__jv,name__eu,name__bs,name__vo,name__ta,name__ms,name__ckb,name__mk,name__io,name__vec,name__yo,name__scn,name__mn,name__fy,name__th,name__la,name__mr,name__ka,name__hi,name__sah,name__fo,name__ml,name__ne,name__af,wikipedia__af,wikipedia__bgwikiquote,wikipedia__bs,wikipedia__ckb,wikipedia__enwikinews,wikipedia__eu,wikipedia__fo,wikipedia__frwikinews,wikipedia__fy,wikipedia__hi,wikipedia__io,wikipedia__jv,wikipedia__ka,wikipedia__la,wikipedia__mk,wikipedia__ml,wikipedia__mn,wikipedia__mr,wikipedia__ms,wikipedia__sah,wikipedia__scn,wikipedia__simple,wikipedia__svwikiquote,wikipedia__ta,wikipedia__th,wikipedia__vec,wikipedia__vo,wikipedia__yo,identifier__NKC,name__is,name__mg,wikipedia__is,wikipedia__mg,name__uz,name__zh_hans,name__zh_hant,name__zh_hk,wikipedia__uz,identifier__NUKAT,last_seen,name__lad,wikipedia__xmf,name__xmf,name__zh_cn,name__crh,identifier__PACE,identifier__Britannica,instagram,occupation,identifier__livejournal,identifier__vkontakte,wikipedia__ukwikisource,identifier__flickr,wikipedia__dewikinews,wikipedia__elwikinews,wikipedia__eswikinews,wikipedia__srwikinews,identifier__quora,wikipedia__trwikinews,identifier__verkhovna_rada,name__an,name__ast,name__ext,identifier__youtube,identifier__google_plus,identifier__google_knowledge,wikipedia__fawikiquote,identifier__NNDB,wikipedia__bewikiquote
Q1100750,Бакулін Євген Миколайович,Бакулін Євген Миколайович,Бакулін Євген Миколайович,male,1956-09-26,Бакулін Євген Миколайович,,,,"Бакулин, Евгений Николаевич",,Jevhen Mikolajovics Bakulin,,Jevhen Mikolajovics Bakulin,,,,,,,Jevhen Mikolajovics Bakulin,,"Бакулин, Евгений Николаевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,
Q11285342,Деркач Андрій Леонідович,Деркач Андрій Леонідович,Деркач Андрій Леонідович,male,1967-08-19,Деркач Андрій Леонідович,,,Andrij Derkacz,"Деркач, Андрей Леонидович",Andrey Leonidovich Derkach,,,Andrey Leonidovich Derkach,,,,,,Andrii Derkach,,Andrij Derkacz (polityk),"Деркач, Андрей Леонидович",,https://upload.wikimedia.org/wikipedia/commons/f/ff/Деркач_Андрій_Леонідович.jpg,,,アンドレイ・デルカッチ,,,,,,,,,,アンドレイ・デルカッチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,
Q11711544,Гузь Ігор Володимирович,Гузь Ігор Володимирович,Гузь Ігор Володимирович,male,1982-01-11,Гузь Ігор Володимирович,,,Ihor Huź,"Гузь, Игорь Владимирович",Ihor Huz,,,Ihor Huz,,,Ігар Уладзіміравіч Гузь,Ігар Уладзіміравіч Гузь,Category:Ihor Huz,Ihor Huz,,Ihor Huź,"Гузь, Игорь Владимирович",,https://upload.wikimedia.org/wikipedia/commons/9/9b/Ihor_Huz.jpg,,Ihor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,14674,,,,,,,,,
Q11714380,Балога Іван Іванович,Балога Іван Іванович,Балога Іван Іванович,male,1966-11-10,Балога Іван Іванович,,,Iwan Bałoha,,,,,,,,,,,,,Iwan Bałoha,,,,,Iwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,
Q11726010,Гєллєр Євгеній Борисович,Гєллєр Євгеній Борисович,Гєллєр Євгеній Борисович,male,1974-05-12,Гєллєр Євгеній Борисович,,,Jewhenij Hieller,"Геллер, Евгений Борисович",Yevhen Heller,,,Yevhen Heller,,,,,,Yevhen Heller,,Jewhenij Hieller,"Геллер, Евгений Борисович",,https://upload.wikimedia.org/wikipedia/commons/6/69/Евгений_Борисович_Геллер.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,
Q11801425,Домбровський Олександр Георгійович,Домбровський Олександр Георгійович,Домбровський Олександр Георгійович,male,1962-07-07,Домбровський Олександр Георгійович,Домбровський Олександр Георгійович,,Ołeksandr Dombrowski,"Домбровский, Александр Георгиевич",Oleksandr Dombrovskyi,,,Oleksandr Dombrovskyi,,,,,,,,Ołeksandr Dombrowski,"Домбровский, Александр Георгиевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dombrowskiy.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economist,,,,,,,,,,,15727,,,,,,,,,
Q12073183,Євтушок Сергій Миколайович,Євтушок Сергій Миколайович,Євтушок Сергій Миколайович,male,1973-11-13,Євтушок Сергій Миколайович,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,
Q12073403,Єремеєв Ігор Миронович,Єремеєв Ігор Миронович,Єремеєв Ігор Миронович,male,1968-04-03,Єремеєв Ігор Миронович,Єремеєв Ігор Миронович,,Ihor Jeremejew,"Еремеев, Игорь Миронович",Ihor Yeremeyev,,,Ihor Yeremeyev,Igor Yeremeyev,,,,Category:Ihor Yeremeyev,Ihor Yeremeyev,,Ihor Jeremejew,"Еремеев, Игорь Миронович",,https://upload.wikimedia.org/wikipedia/commons/d/da/Ihor_Yeremeyev.jpg,,Ihor,イーホル・イェレメイェフ,Igor Yeremeyev,,,,,,,,,,,,,,,,,,,,,,,,,,Игорь Миронович Еремеев,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,Ihor Yeremeyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,
Q12074921,Іонова Марія Миколаївна,Іонова Марія Миколаївна,Іонова Марія Миколаївна,female,1978-05-31,Іонова Марія Миколаївна,,,,"Ионова, Мария Николаевна",Mariya Ionova,,,Marija Ionowa,Marija Ionowa,Marija Ionowa,,,Category:Mariya Ionova,,,,"Ионова, Мария Николаевна",,https://upload.wikimedia.org/wikipedia/commons/e/ea/Mariya_Ionova.jpg,,Marija,,,,,,,,Marija Ionowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7358,,,politician,,,,,,,,,,,15672,,,,,,,,,
Q12074931,Іоффе Юлій Якович,Іоффе Юлій Якович,Іоффе Юлій Якович,male,1940-12-10,Іоффе Юлій Якович,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,
