id,name,area,party,term
adjourouvi_yawovi_missiame_amenyo,ADJOUROUVI Yawovi Missiame Amenyo,AVE,INDEPENDANT/AVE EN MARCHE,2018
adzoyi_kodzotse,ADZOYI Kodzotse,AVE,UFC,2018
afetse_yawo_dotse,AFETSE Yawo Dotse,AGOU,UNIR,2018
agbanu_komi,AGBANU Komi,ZIO,UFC,2018
agbeko_andre,AGBEKO Andre,BLITTA,UNIR,2018
agogno_sodjedo_messan,AGOGNO SODJEDO Messan,ZIO,INDEPENDANTS/(CRAD),2018
ahoomey-zunu_doh_gaétan_mawukplonam,AHOOMEY-ZUNU Doh Gaétan Mawukplonam,GOLFE-AGOE-NYIVE,UFC,2018
akoda_tchiko_koffi_joseph,AKODA Tchiko Koffi Joseph,EST-MONO,UNIR,2018
alassani_nakpale,ALASSANI Nakpale,TONE-CINKASSE,UNIR,2018
alipui_senanu_koku,ALIPUI Senanu Koku,OGOU-ANIE,UFC,2018
amadou_yerima_mashoud,AMADOU Yerima Mashoud,TCHAOUDJO,UNIR,2018
ameganvi_kodzo_tsitsope_fiawotepe,AMEGANVI Kodzo Tsitsope Fiawotepe,GOLFE-AGOE-NYIVE,NET,2018
ametodji_yaouvi,AMETODJI Yaouvi,OGOU-ANIE,UNIR,2018
assouma_derman,ASSOUMA Derman,TCHAMBA,UNIR,2018
atchangbedji_gado,ATCHANGBEDJI Gado,TCHAMBA,UNIR,2018
atcholi_aklesso,ATCHOLI Aklesso,BLITTA,UNIR,2018
atikpo_koami,ATIKPO Koami,VO,INDEPENDANTS ALLOLEDOU-VO,2018
atsou_ayao,ATSOU Ayao,GOLFE-AGOE-NYIVE,INDEPENDANT/ BATIR,2018
bamba_djerkpary_massouadoussey,BAMBA DJERKPARY Massouadoussey,OTI /OTI-SUD,UNIR,2018
banlepo_nabaguédjo,BANLEPO Nabaguédjo,TONE-CINKASSE,UNIR,2018
banybah_komlan_mawuli,BANYBAH Komlan Mawuli,GOLFE-AGOE-NYIVE,INDEPENDANT/ BATIR,2018
binoinin_kpanimie,BINOININ Kpanimie,TANDJOUARE,INDEPENDANT/ LIR,2018
bode_idrissou_inoussa,BODE Idrissou Inoussa,ASSOLI,UNIR,2018
bolouvi_patrick_kodjovi_senam,BOLOUVI Patrick Kodjovi Senam,AGOU,UNIR,2018
bonsa_yempabe,BONSA Yempabe,KPENDJAL/ KPENDJAL-OUEST,UNIR,2018
de_poukn_mantöde,DE POUKN Mantöde,OTI /OTI-SUD,UNIR,2018
degboe_koffi_dziwonu,DEGBOE Koffi Dziwonu,KLOTO-KPELE,UNIR,2018
djafok_lactieyi,DJAFOK Lactieyi,TONE-CINKASSE,UNIR,2018
djissenou_kodjo,DJISSENOU Kodjo,YOTO,INDEPENDANT/ DUANENYO,2018
donko_kossi_kassegnin,DONKO Kossi Kassegnin,TCHAMBA,UNIR,2018
gagnon_kodjo,GAGNON Kodjo,HAHO,UNIR,2018
gnassingbe_meyebin-_esso_kwami,GNASSINGBE Meyebin- esso Kwami,AMOU,UNIR,2018
gnatcho_komla_mawuena,GNATCHO Komla Mawuena,AMOU,UNIR,2018
hodin_eke_kokou,HODIN EKE Kokou,OGOU-ANIE,UNIR,2018
hounakey_akakpo_kossi,HOUNAKEY Akakpo Kossi,LACS-BAS MONO,INDEPENDANT/HYSOPE,2018
ihou_yaovi_attigbe,IHOU Yaovi Attigbe,AMOU,UNIR,2018
issa-toure_salahaddine,ISSA-TOURE Salahaddine,TCHAOUDJO,UNIR,2018
johnson_andré_kouassi_ablom,JOHNSON André Kouassi Ablom,LACS-BAS MONO,UFC,2018
kaboua_essokoyo,KABOUA Essokoyo,DANYI,MRC,2018
kagbara_uleija_yabisse_milioussiba_innocent,KAGBARA Uleija Yabisse Milioussiba Innocent,DANKPEN,PDP,2018
kambia_mouwounaïsso_intonou_koffi,KAMBIA Mouwounaïsso Intonou Koffi,EST-MONO,UNIR,2018
kangbeni_gbalgueboa,KANGBENI Gbalgueboa,TONE-CINKASSE,UNIR,2018
katanga_poro,KATANGA Poro,KOZAH,UNIR,2018
kazia_tchala,KAZIA Tchala,SOTOUBOUA-MÔ,UNIR,2018
keretcho_komina,KERETCHO Komina,WAWA-AKEBOU,UNIR,2018
kodjo_messan_agbeyome_gabriel,KODJO Messan Agbeyome Gabriel,YOTO,MPDD,2018
koudoagbo_kodjo,KOUDOAGBO Kodjo,GOLFE-AGOE-NYIVE,UNIR,2018
kpal_koffi,KPAL Koffi,BASSAR,UNIR,2018
kpangban_eglou,KPANGBAN Eglou,BINAH,UNIR,2018
kpatcha_sourou,KPATCHA Sourou,HAHO,UNIR,2018
kpeevey_gaby-gadzo,KPEEVEY Gaby-Gadzo,KLOTO-KPELE,MPDD,2018
kpomegbe_anani_kokou,KPOMEGBE Anani Kokou,VO,UFC,2018
modibo_eklou_essohanam_balakiyem,MODIBO Eklou Essohanam Balakiyem,TCHAOUDJO,UNIR,2018
monkpebor_koundjam,MONKPEBOR Koundjam,DANKPEN,INDEPENDANT/POUR CONSTRUIRE,2018
mme_abdoulaye_adjaratou,Mme ABDOULAYE Adjaratou,ASSOLI,UNIR,2018
mme_abougnima_molgah,Mme ABOUGNIMA Molgah,DOUFELGOU,UNIR,2018
mme_adjeh_assoupui_amele,Mme ADJEH Assoupui Amele,VO,INDEPENDANT/ ALLOLEDOU-VO,2018
mme_agbandao_kounou_nahou,Mme AGBANDAO Kounou Nahou,KERAN,UNIR,2018
mme_aka_amivi_jacqueline,Mme AKA Amivi Jacqueline,YOTO,INDEPENDANT/DUANENYO,2018
mme_anate_kouméalo,Mme ANATE Kouméalo,GOLFE-AGOE-NYIVE,UNIR,2018
mme_atti_dzigbodi,Mme ATTI Dzigbodi,DANYI,INDEPENDANT / NOUVELLE VISION,2018
mme_balouki_essossimna,Mme BALOUKI Essossimna,KOZAH,UNIR,2018
mme_bonfoh_abiratou_oubôtina,Mme BONFOH Abiratou Oubôtina,BASSAR,UNIR,2018
mme_gabiam_esther_ayélé,Mme GABIAM Esther Ayélé,LACS-BAS MONO,INDEPENDANT/HYSOPE,2018
