id,name,image,area,area_id,party,party_id,term,source,sort_name
Arnhim_Eustace,Arnhim Ulric EUSTACE,http://www.caribbeanelections.com/vc/images/people/Arnhim_Eustace_2015.png,East Kingstown,ocd-division/country:vc/constituency:east-kingstown,New Democratic Party,NDP,9,http://www.caribbeanelections.com/vc/candidates_2015/Arnhim_Eustace.asp,"EUSTACE, Arnhim"
Camillo_Gonsalves,Camillo Michael GONSALVES,http://www.caribbeanelections.com/vc/images/people/Camillo_Gonsalves_2015.jpg,East St. George,ocd-division/country:vc/constituency:east-st.-george,Unity Labour Party,ULP,9,http://www.caribbeanelections.com/vc/candidates_2015/Camillo_Gonsalves.asp,"GONSALVES, Camillo"
Cecil_McKie,Cecil O. McKIE,http://www.caribbeanelections.com/vc/images/people/Cecil_McKie_2015.png,West St. George,ocd-division/country:vc/constituency:west-st.-george,Unity Labour Party,ULP,9,http://www.caribbeanelections.com/vc/candidates_2015/Cecil_McKie.asp,"McKIE, Cecil"
Daniel_Cummings,Daniel E. CUMMINGS,http://www.caribbeanelections.com/vc/images/people/Daniel_Cummins_2015.png,West Kingstown,ocd-division/country:vc/constituency:west-kingstown,New Democratic Party,NDP,9,http://www.caribbeanelections.com/vc/candidates_2015/Daniel_Cummings.asp,"CUMMINGS, Daniel"
Frederick_Stephenson,Alphaeus Frederick STEPHENSON,http://www.caribbeanelections.com/vc/images/people/Frederick_Stephenson_2015.png,South Windward,ocd-division/country:vc/constituency:south-windward,Unity Labour Party,ULP,9,http://www.caribbeanelections.com/vc/candidates_2015/Frederick_Stephenson.asp,"STEPHENSON, Frederick"
Godwin_Friday,Dr. Godwin Lorraine FRIDAY,http://www.caribbeanelections.com/vc/images/people/Godwin_Friday_2015.png,Northern Grenadines,ocd-division/country:vc/constituency:northern-grenadines,New Democratic Party,NDP,9,http://www.caribbeanelections.com/vc/candidates_2015/Godwin_Friday.asp,"FRIDAY, Godwin"
Louis_Straker,Sir Louis Hilton STRAKER,http://www.caribbeanelections.com/vc/images/people/Louis_Straker_2015.jpg,Central Leeward,ocd-division/country:vc/constituency:central-leeward,Unity Labour Party,ULP,9,http://www.caribbeanelections.com/vc/candidates_2015/Louis_Straker.asp,"STRAKER, Louis"
Montgomery_Daniel,Montgomery DANIEL,http://www.caribbeanelections.com/vc/images/people/Montgomery_Daniel_2015.png,North Windward,ocd-division/country:vc/constituency:north-windward,Unity Labour Party,ULP,9,http://www.caribbeanelections.com/vc/candidates_2015/Montgomery_Daniel.asp,"DANIEL, Montgomery"
Nigel_Stephenson,Nigel STEPHENSON,http://www.caribbeanelections.com/vc/images/people/Nigel_Stephenson_2015.png,South Leeward,ocd-division/country:vc/constituency:south-leeward,New Democratic Party,NDP,9,http://www.caribbeanelections.com/vc/candidates_2015/Nigel_Stephenson.asp,"STEPHENSON, Nigel"
Ralph_Gonsalves,Dr. Ralph Everard GONSALVES,http://www.caribbeanelections.com/vc/images/people/Ralph_Gonsalves_2015_03.jpg,North Central Windward,ocd-division/country:vc/constituency:north-central-windward,Unity Labour Party,ULP,9,http://www.caribbeanelections.com/vc/candidates_2015/Ralph_Gonsalves.asp,"GONSALVES, Ralph"
Roland_Matthews,Roland Uric MATTHEWS,http://www.caribbeanelections.com/vc/images/people/Roland_Matthews_2015.png,North Leeward,ocd-division/country:vc/constituency:north-leeward,New Democratic Party,NDP,9,http://www.caribbeanelections.com/vc/candidates_2015/Roland_Matthews.asp,"MATTHEWS, Roland"
Saboto_Caesar,Saboto Scofield CAESAR,http://www.caribbeanelections.com/vc/images/people/Saboto_Caesar_2015.png,South Central Windward,ocd-division/country:vc/constituency:south-central-windward,Unity Labour Party,ULP,9,http://www.caribbeanelections.com/vc/candidates_2015/Saboto_Caesar.asp,"CAESAR, Saboto"
StClair_Leacock,Major St. Clair LEACOCK,http://www.caribbeanelections.com/vc/images/people/Stclaire_Leacock_2015.png,Central Kingstown,ocd-division/country:vc/constituency:central-kingstown,New Democratic Party,NDP,9,http://www.caribbeanelections.com/vc/candidates_2015/StClair_Leacock.asp,"LEACOCK, St. Clair"
StClair_Prince,St. Clair PRINCE,http://www.caribbeanelections.com/vc/images/people/StClair_Prince_2015.jpg,Marriaqua,ocd-division/country:vc/constituency:marriaqua,Unity Labour Party,ULP,9,http://www.caribbeanelections.com/vc/candidates_2015/StClair_Prince.asp,"PRINCE, St. Clair"
Terrance_Ollivierre,Terrance Nathaniel OLLIVIERRE,http://www.caribbeanelections.com/vc/images/people/Terrance_Ollivierre_2015.png,Southern Grenadines,ocd-division/country:vc/constituency:southern-grenadines,New Democratic Party,NDP,9,http://www.caribbeanelections.com/vc/candidates_2015/Terrance_Ollivierre.asp,"OLLIVIERRE, Terrance"
