id,name__en,name__de,name__it,name__nl,name__fr,name,wikipedia__en,gender,occupation,death_date,original_wikiname,name__yo,wikipedia__yo,birth_date,given_name,name__new,wikipedia__new,identifier__VIAF,image,identifier__LCAuth,identifier__FAST,identifier__freebase,name__es,name__nb,name__tr,name__ru,name__da,name__nn,name__sv,name__hu,wikipedia__de,wikipedia__no,wikipedia__ru,wikipedia__tr,name__zh_hant,name__zh_cn,name__cy,name__gl,wikipedia__it,wikipedia__sv,wikipedia__fr,identifier__NPG,identifier__hansard,name__ca,wikipedia__ca,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__NTA,website,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cs,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__eu,name__fi,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__id,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pl,name__pms,name__prg,name__pt,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sw,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__simple,wikipedia__commons,identifier__nass,wikipedia__ha,name__ha,wikipedia__ig,name__ig,name__sl,identifier__rush,family_name,wikipedia__vi,identifier__GTAA,wikipedia__id,twitter,identifier__google_knowledge,wikipedia__enwikiquote,wikipedia__enwikisource,wikipedia__fi,name__ja
Q1225695,Dimeji Bankole,Dimeji Bankole,,Dimeji Bankole,Dimeji Bankole,Dimeji Bankole,Dimeji Bankole,male,economist,,Dimeji Bankole,Dimeji Bankole,Dimeji Bankole,1969-11-14,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b0/Oladimeji_Sabur_Bankole.jpg,,,,Dimeji Bankole,Dimeji Bankole,,,Dimeji Bankole,Dimeji Bankole,Dimeji Bankole,,Dimeji Bankole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dimeji Bankole,,,,,,,,,,,
Q13140687,Ike Ekweremadu,Ike Ekweremadu,,Ike Ekweremadu,Ike Ekweremadu,Ike Ekweremadu,Ike Ekweremadu,male,politician,,,Ike Ekweremadu,Ike Ekweremadu,1962-05-12,Ike,,,,https://upload.wikimedia.org/wikipedia/commons/1/19/Huriwa2gk-is-565.png,,,,,,,,,,,,,,,,艾克·艾克沃瑞馬杜,艾克·艾克沃瑞马杜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817,,,,,Ike Ekweremadu,,,,,,,,,,,
Q13140868,Tokunbo Afikuyomi,Tokunbo Afikuyomi,,Tokunbo Afikuyomi,Tokunbo Afikuyomi,Tokunbo Afikuyomi,Tokunbo Afikuyomi,male,politician,,Tokunbo Afikuyomi,Tokunbo Afikuyomi,Tokunbo Afikuyomi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tokunbo Afikuyomi,,,,,,,,,,,
Q13530016,Norman Pannell,Norman Pannell,Norman Pannell,Norman Pannell,Norman Pannell,Norman Pannell,Norman Pannell,male,politician,1976-03-08,Norman Pannell,,,1901-04-17,Norman,,,,,,,,Norman Pannell,,,,,,Norman Pannell,Norman Pannell,,,,,,,,,,,,mp77869,mr-norman-pannell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Norman Pannell,5315,Pannell,,,,,,,,,
Q13651011,Mudasiru Oyetunde Hussein,Mudasiru Oyetunde Hussein,,Mudasiru Oyetunde Hussein,Mudasiru Oyetunde Hussein,Mudasiru Oyetunde Hussein,Mudasiru Oyetunde Hussein,male,politician,,Mudasiru Oyetunde Hussein,Mudasiru Oyetunde Hussein,Mudasiru Oyetunde Hussein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mudasiru Oyetunde Hussein,,,,,,,,,,,
Q16106000,Eddie Mbadiwe,Eddie Mbadiwe,,Eddie Mbadiwe,Eddie Mbadiwe,Eddie Mbadiwe,Eddie Mbadiwe,male,politician,,Eddie Mbadiwe,,,1942-02-06,Eddie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eddie Mbadiwe,,,,,,,,,,,
Q16189427,Olajumoke Okoya-Thomas,,,,Olajumoke Okoya-Thomas,Olajumoke Okoya-Thomas,Olajumoke Okoya-Thomas,female,politician,,Olajumoke Okoya-Thomas,,,1957-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olajumoke Okoya-Thomas,,,,,,,,,,,,Olajumoke Okoya-Thomas,Olajumoke Okoya-Thomas,Olajumoke Okoya-Thomas,,,Olajumoke Okoya-Thomas,,,,,,,,
Q16194615,John Dyegh,John Dyegh,,John Dyegh,John Dyegh,John Dyegh,John Dyegh,male,politician,,John Dyegh,,,1962-12-02,John,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541,,,,,John Dyegh,,,,,,,,,,,
Q16196905,Bimbo Daramola,Bimbo Daramola,Bimbo Daramola,Bimbo Daramola,Bimbo Daramola,Bimbo Daramola,Bimbo Daramola,male,politician,,Bimbo Daramola,,,1967-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bimbo Daramola,,,,,,,,,,,
Q16230616,Aliyu Ibrahim Gebi,Aliyu Ibrahim Gebi,,Aliyu Ibrahim Gebi,Aliyu Ibrahim Gebi,Aliyu Ibrahim Gebi,Aliyu Ibrahim Gebi,male,politician,,Aliyu Ibrahim Gebi,,,1975-01-17,,,,,https://upload.wikimedia.org/wikipedia/commons/a/ad/Honorable_Aliyu_Ibrahim_Gebi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliyu Ibrahim Gebi,,,,,,,,,,,
